ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3418,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3419-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3419-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3421,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3423,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3424,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3426-3,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3426-4,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3426-5,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3426-6,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3464-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3464-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3465,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3466,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3467,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3468,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3469,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3470-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3470-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3471,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3472,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3473,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3474,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3475,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3476,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3477,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3478,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3479,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3481,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3484,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3485,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3487,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3488,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3489,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3491,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3494,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3497,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3499,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3500,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3501-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3501-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3502,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3503,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3504-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3504-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3504-3,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3505-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3505-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3505-3,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3506,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3508-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3508-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3508-3,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3509,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3514-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3514-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3528,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3530-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3530-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3531-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3531-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3531-3,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3534-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3534-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3535-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3535-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3536,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3537-1,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3537-2,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3538,,
01468-4501-1.zip,202602101133,上川郡下川町上名寄,3539,,
