ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01464-4501-1.zip,202602101133,上川郡和寒町字大成,5-1,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,5-2,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,5-5,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,5-6,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,5-7,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,7-5,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,7-6,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,7-7,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,7-8,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,7-9,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,7-10,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,7-13,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,8-3,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,8-11,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,8-12,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,8-14,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-6,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-9,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-10,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-11,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-12,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-13,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-14,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-15,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-16,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-17,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-18,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,12-19,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,13-6,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,14-3,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,14-4,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,15-1,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,15-3,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,15-4,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,15-5,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,15-7,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,15-8,,
01464-4501-1.zip,202602101133,上川郡和寒町字大成,15-10,,
