ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01454-4500-1.zip,202602101112,上川郡当麻町,1572-1,,
01454-4500-1.zip,202602101112,上川郡当麻町,1572-4,,
01454-4500-1.zip,202602101112,上川郡当麻町,1572-7,,
01454-4500-1.zip,202602101112,上川郡当麻町,1572-3W1,,
01454-4500-1.zip,202602101112,上川郡当麻町,1572-3W2,,
01454-4500-1.zip,202602101112,上川郡当麻町,1573-1,,
01454-4500-1.zip,202602101112,上川郡当麻町,1573-6,,
01454-4500-1.zip,202602101112,上川郡当麻町,1574-1,,
01454-4500-1.zip,202602101112,上川郡当麻町,1574-4,,
01454-4500-1.zip,202602101112,上川郡当麻町,1576-1,,
01454-4500-1.zip,202602101112,上川郡当麻町,1576-3,,
01454-4500-1.zip,202602101112,上川郡当麻町,1576-4,,
01454-4500-1.zip,202602101112,上川郡当麻町,1576-5,,
01454-4500-1.zip,202602101112,上川郡当麻町,1576-6,,
01454-4500-1.zip,202602101112,上川郡当麻町,1576-7,,
01454-4500-1.zip,202602101112,上川郡当麻町,1576-10,,
01454-4500-1.zip,202602101112,上川郡当麻町,1576-11,,
01454-4500-1.zip,202602101112,上川郡当麻町,1577-1,,
01454-4500-1.zip,202602101112,上川郡当麻町,1577-3,,
01454-4500-1.zip,202602101112,上川郡当麻町,1577-4,,
01454-4500-1.zip,202602101112,上川郡当麻町,1577-12,,
01454-4500-1.zip,202602101112,上川郡当麻町,1579-1,,
01454-4500-1.zip,202602101112,上川郡当麻町,1579-3,,
01454-4500-1.zip,202602101112,上川郡当麻町,1579-4,,
01454-4500-1.zip,202602101112,上川郡当麻町,1579-5,,
01454-4500-1.zip,202602101112,上川郡当麻町,1579-7,,
01454-4500-1.zip,202602101112,上川郡当麻町,1691-2,,
01454-4500-1.zip,202602101112,上川郡当麻町,1691-5,,
01454-4500-1.zip,202602101112,上川郡当麻町,1691-6,,
01454-4500-1.zip,202602101112,上川郡当麻町,1691-9,,
01454-4500-1.zip,202602101112,上川郡当麻町,1691-10,,
01454-4500-1.zip,202602101112,上川郡当麻町,1691-20,,
01454-4500-1.zip,202602101112,上川郡当麻町,1844-1,,
01454-4500-1.zip,202602101112,上川郡当麻町,1844-2,,
01454-4500-1.zip,202602101112,上川郡当麻町,1844-4,,
01454-4500-1.zip,202602101112,上川郡当麻町,1844-7,,
01454-4500-1.zip,202602101112,上川郡当麻町,1844-13,,
01454-4500-1.zip,202602101112,上川郡当麻町,1844-14,,
01454-4500-1.zip,202602101112,上川郡当麻町,1844-15,,
01454-4500-1.zip,202602101112,上川郡当麻町,1846-1,,
01454-4500-1.zip,202602101112,上川郡当麻町,1846-12,,
01454-4500-1.zip,202602101112,上川郡当麻町,1846-15,,
01454-4500-1.zip,202602101112,上川郡当麻町,1846-16,,
01454-4500-1.zip,202602101112,上川郡当麻町,1846-19,,
01454-4500-1.zip,202602101112,上川郡当麻町,1846-20,,
01454-4500-1.zip,202602101112,上川郡当麻町,1846-40,,
01454-4500-1.zip,202602101112,上川郡当麻町,1846-42,,
01454-4500-1.zip,202602101112,上川郡当麻町,1846-45,,
01454-4500-1.zip,202602101112,上川郡当麻町,1846-49,,
