ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01455-4500-1.zip,202602101112,上川郡比布町,8-2,,
01455-4500-1.zip,202602101112,上川郡比布町,8-3,,
01455-4500-1.zip,202602101112,上川郡比布町,8-4,,
01455-4500-1.zip,202602101112,上川郡比布町,8-5,,
01455-4500-1.zip,202602101112,上川郡比布町,8-7,,
01455-4500-1.zip,202602101112,上川郡比布町,8-9,,
01455-4500-1.zip,202602101112,上川郡比布町,8-11,,
01455-4500-1.zip,202602101112,上川郡比布町,8-13,,
01455-4500-1.zip,202602101112,上川郡比布町,8-15,,
01455-4500-1.zip,202602101112,上川郡比布町,8-17,,
01455-4500-1.zip,202602101112,上川郡比布町,8-19,,
01455-4500-1.zip,202602101112,上川郡比布町,8-20,,
01455-4500-1.zip,202602101112,上川郡比布町,8-21,,
01455-4500-1.zip,202602101112,上川郡比布町,8-26,,
01455-4500-1.zip,202602101112,上川郡比布町,8-28,,
01455-4500-1.zip,202602101112,上川郡比布町,8-29,,
01455-4500-1.zip,202602101112,上川郡比布町,8-32,,
01455-4500-1.zip,202602101112,上川郡比布町,8-33,,
01455-4500-1.zip,202602101112,上川郡比布町,8-34,,
01455-4500-1.zip,202602101112,上川郡比布町,8-35,,
01455-4500-1.zip,202602101112,上川郡比布町,8-37,,
01455-4500-1.zip,202602101112,上川郡比布町,8-38,,
01455-4500-1.zip,202602101112,上川郡比布町,8-41,,
01455-4500-1.zip,202602101112,上川郡比布町,8-42,,
01455-4500-1.zip,202602101112,上川郡比布町,8-43,,
01455-4500-1.zip,202602101112,上川郡比布町,8-45,,
01455-4500-1.zip,202602101112,上川郡比布町,8-46,,
01455-4500-1.zip,202602101112,上川郡比布町,8-47,,
01455-4500-1.zip,202602101112,上川郡比布町,8-48,,
01455-4500-1.zip,202602101112,上川郡比布町,8-50,,
01455-4500-1.zip,202602101112,上川郡比布町,8-52,,
01455-4500-1.zip,202602101112,上川郡比布町,8-56,,
01455-4500-1.zip,202602101112,上川郡比布町,8-57,,
01455-4500-1.zip,202602101112,上川郡比布町,8-60,,
01455-4500-1.zip,202602101112,上川郡比布町,8-61,,
01455-4500-1.zip,202602101112,上川郡比布町,8-62,,
01455-4500-1.zip,202602101112,上川郡比布町,8-63,,
01455-4500-1.zip,202602101112,上川郡比布町,8-64,,
01455-4500-1.zip,202602101112,上川郡比布町,8-65,,
01455-4500-1.zip,202602101112,上川郡比布町,8-66,,
01455-4500-1.zip,202602101112,上川郡比布町,8-67,,
01455-4500-1.zip,202602101112,上川郡比布町,8-68,,
01455-4500-1.zip,202602101112,上川郡比布町,8-69,,
01455-4500-1.zip,202602101112,上川郡比布町,8-70,,
01455-4500-1.zip,202602101112,上川郡比布町,8-71,,
01455-4500-1.zip,202602101112,上川郡比布町,8-72,,
01455-4500-1.zip,202602101112,上川郡比布町,8-73,,
01455-4500-1.zip,202602101112,上川郡比布町,8-74,,
01455-4500-1.zip,202602101112,上川郡比布町,8-75,,
01455-4500-1.zip,202602101112,上川郡比布町,8-76,,
01455-4500-1.zip,202602101112,上川郡比布町,8-77,,
01455-4500-1.zip,202602101112,上川郡比布町,8-78,,
01455-4500-1.zip,202602101112,上川郡比布町,8-79,,
01455-4500-1.zip,202602101112,上川郡比布町,8-80,,
01455-4500-1.zip,202602101112,上川郡比布町,8-81,,
01455-4500-1.zip,202602101112,上川郡比布町,8-82,,
01455-4500-1.zip,202602101112,上川郡比布町,8-83,,
01455-4500-1.zip,202602101112,上川郡比布町,8-84,,
01455-4500-1.zip,202602101112,上川郡比布町,8-85,,
01455-4500-1.zip,202602101112,上川郡比布町,8-86,,
01455-4500-1.zip,202602101112,上川郡比布町,8-87,,
01455-4500-1.zip,202602101112,上川郡比布町,8-89,,
01455-4500-1.zip,202602101112,上川郡比布町,8-90,,
01455-4500-1.zip,202602101112,上川郡比布町,8-91,,
01455-4500-1.zip,202602101112,上川郡比布町,8-92,,
01455-4500-1.zip,202602101112,上川郡比布町,8-93,,
01455-4500-1.zip,202602101112,上川郡比布町,8-94,,
01455-4500-1.zip,202602101112,上川郡比布町,8-95,,
