ファイル名,地番区域,緯度,経度
上川郡美瑛町/01459-4500-6.topojson,上川郡美瑛町字美瑛原野,43.590401,142.487625
上川郡美瑛町/01459-4500-6.topojson,上川郡美瑛町,43.588284,142.46698
上川郡美瑛町/01459-4500-8.topojson,上川郡美瑛町字ウバクベツ,43.588284,142.46698
上川郡美瑛町/01459-4500-8.topojson,上川郡美瑛町字オキキニウシ原野,43.588284,142.46698
上川郡美瑛町/01459-4500-8.topojson,上川郡美瑛町字俵真布,43.589962,142.627258
上川郡美瑛町/01459-4500-8.topojson,上川郡美瑛町字忠別,43.62418,142.669266
上川郡美瑛町/01459-4500-10.topojson,上川郡美瑛町字オキキニウシ,43.588284,142.46698
上川郡美瑛町/01459-4500-10.topojson,上川郡美瑛町字美瑛,43.590401,142.487625
上川郡美瑛町/01459-4500-10.topojson,上川郡美瑛町字辺別太,43.588284,142.46698
上川郡美瑛町/01459-4500-33.topojson,上川郡美瑛町中町１丁目,43.593197,142.466034
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町花園１丁目,43.587826,142.455292
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町花園４丁目,43.585205,142.452621
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町西町１丁目,43.587826,142.458298
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町西町２丁目,43.587303,142.460098
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町東町１丁目,43.592117,142.474808
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町東町２丁目,43.591156,142.476059
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町東町３丁目,43.590256,142.477219
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町東町４丁目,43.58934,142.478409
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町錦町,43.598961,142.472412
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町丸山１丁目,43.584656,142.474152
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町丸山２丁目,43.584118,142.477768
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町南町１丁目,43.585812,142.465729
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町南町２丁目,43.585098,142.466995
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町南町３丁目,43.584393,142.468506
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町南町４丁目,43.583549,142.469742
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町南町５丁目,43.582401,142.471283
上川郡美瑛町/01459-4500-35.topojson,上川郡美瑛町扇町,43.597034,142.466812
上川郡美瑛町/01459-4500-36.topojson,上川郡美瑛町本町２丁目,43.590504,142.464813
上川郡美瑛町/01459-4500-36.topojson,上川郡美瑛町本町３丁目,43.589542,142.466095
上川郡美瑛町/01459-4500-36.topojson,上川郡美瑛町本町４丁目,43.588615,142.467316
上川郡美瑛町/01459-4500-36.topojson,上川郡美瑛町中町２丁目,43.592239,142.467361
上川郡美瑛町/01459-4500-36.topojson,上川郡美瑛町中町３丁目,43.591251,142.468567
上川郡美瑛町/01459-4500-36.topojson,上川郡美瑛町中町４丁目,43.590336,142.469757
上川郡美瑛町/01459-4500-37.topojson,上川郡美瑛町幸町１丁目,43.589294,142.471008
上川郡美瑛町/01459-4500-37.topojson,上川郡美瑛町幸町２丁目,43.588505,142.472153
上川郡美瑛町/01459-4500-37.topojson,上川郡美瑛町幸町３丁目,43.587597,142.473328
上川郡美瑛町/01459-4500-37.topojson,上川郡美瑛町幸町４丁目,43.586704,142.474487
上川郡美瑛町/01459-4500-37.topojson,上川郡美瑛町寿町１丁目,43.5877,142.468704
上川郡美瑛町/01459-4500-37.topojson,上川郡美瑛町寿町２丁目,43.586815,142.469666
上川郡美瑛町/01459-4500-37.topojson,上川郡美瑛町寿町３丁目,43.585922,142.470764
上川郡美瑛町/01459-4500-37.topojson,上川郡美瑛町寿町４丁目,43.585037,142.471909
上川郡美瑛町/01459-4500-48.topojson,上川郡美瑛町西町３丁目,43.586544,142.461502
上川郡美瑛町/01459-4500-48.topojson,上川郡美瑛町西町４丁目,43.585629,142.462952
上川郡美瑛町/01459-4500-48.topojson,上川郡美瑛町栄町２丁目,43.588734,142.462402
上川郡美瑛町/01459-4500-48.topojson,上川郡美瑛町栄町３丁目,43.588009,142.463821
上川郡美瑛町/01459-4500-48.topojson,上川郡美瑛町栄町４丁目,43.587067,142.465088
