ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01452-4500-1.zip,202602101112,上川郡鷹栖町,2961-5,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2961-198,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2961-199,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2961-200,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2961-188W1,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-30,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-31,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-122,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-167,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-168,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-169,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-170,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-171,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-172,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-173,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-174,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-175,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-176,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-177,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-178,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-179,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-180,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-181,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-182,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-183,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-184,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-185,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-186,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-187,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-188,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-189,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-190,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-191,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-192,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-193,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-194,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-195,,
01452-4500-1.zip,202602101112,上川郡鷹栖町,2975-196,,
