ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01471-4501-1.zip,202602101133,中川郡中川町字中川,84-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,84-2,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,84-3,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,84-4,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,84-5,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,84-6,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,84-7,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,86-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,89,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,90,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,91-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,91-3,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,91-4,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,92-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,92-3,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,92-4,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,93-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,93-3,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,93-4,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,94-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,94-2,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,94-3,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,94-4,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,94-5,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,道-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,水-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,水-2,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,水-4,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,水-5,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,水-6,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,水-7,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,水-8,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,108-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,108-4,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,109-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,111-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,111-3,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,111-10,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,112-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,112-2,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,114-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,114-6,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,114-8,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,117-3,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,117-4,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,117-8,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,117-9,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,117-10,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,117-11,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,117-12,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,117-13,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,117-14,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,117-15,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,120-1,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,120-6,,
01471-4501-1.zip,202602101133,中川郡中川町字中川,120-7,,
