ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,2-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,2-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,2-3,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,2-4,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,2-5,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,2-6,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,2-7,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,3-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,3-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,3-3,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条五丁目,3-4,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,2-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,2-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,2-3,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,2-4,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,3-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,3-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,4-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,4-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,5-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,5-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条七丁目,6,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,2-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,2-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,2-3,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,2-4,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,2-5,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,2-8,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,2-9,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,2-10,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,2-11,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,3-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,3-3,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,5-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,5-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,6-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,6-3,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条四丁目,7,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,2-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,2-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,2-3,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,3-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,3-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,3-3,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,6,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,7,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,8,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,9-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,9-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,10-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,10-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,10-3,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,11-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,11-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,11-3,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,12,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,13,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,14-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,14-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,15-1,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,15-2,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,15-3,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,15-4,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,15-5,,
01644-4601-1.zip,202602101156,中川郡池田町字西三条六丁目,16-1,,
