ファイル名,地番区域,緯度,経度
中川郡池田町/01644-4601-1.topojson,中川郡池田町字西三条五丁目,42.925747,143.444031
中川郡池田町/01644-4601-1.topojson,中川郡池田町字西三条七丁目,42.928436,143.444138
中川郡池田町/01644-4601-1.topojson,中川郡池田町字西三条四丁目,42.924625,143.444046
中川郡池田町/01644-4601-1.topojson,中川郡池田町字西三条六丁目,42.927063,143.444016
中川郡池田町/01644-4601-1.topojson,中川郡池田町字西二条五丁目,42.925976,143.447678
中川郡池田町/01644-4601-1.topojson,中川郡池田町字西二条三丁目,42.923218,143.445679
中川郡池田町/01644-4601-1.topojson,中川郡池田町字西二条七丁目,42.92868,143.447525
中川郡池田町/01644-4601-1.topojson,中川郡池田町字西二条四丁目,42.924767,143.447311
中川郡池田町/01644-4601-1.topojson,中川郡池田町字西二条六丁目,42.927315,143.447678
中川郡池田町/01644-4601-2.topojson,中川郡池田町字西一条九丁目,42.932442,143.4478
中川郡池田町/01644-4601-2.topojson,中川郡池田町字西一条八丁目,42.930546,143.448303
中川郡池田町/01644-4601-2.topojson,中川郡池田町字西三条九丁目,42.932735,143.443283
中川郡池田町/01644-4601-2.topojson,中川郡池田町字西三条八丁目,42.930218,143.443832
中川郡池田町/01644-4601-2.topojson,中川郡池田町字西二条九丁目,42.933056,143.446701
中川郡池田町/01644-4601-2.topojson,中川郡池田町字西二条八丁目,42.930428,143.446655
