ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-4,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-5,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-6,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-7,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-8,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-9,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-11,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-12,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,道-13,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-4,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-5,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-6,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-7,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-8,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-9,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-10,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-11,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-12,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,水-13,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,460-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,462-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,462-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,462-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,462-6,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,462-7,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,463-4,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,464-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,465-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,466-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,466-5,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,473-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,474-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,474-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-4,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-5,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-6,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-7,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-8,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-9,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-10,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-11,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-12,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-13,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-14,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,484-15,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,490-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,490-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,490-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,492-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,492-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,492-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,493-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,493-5,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,494-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,494-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,494-5,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,495,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,496-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,496-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,497,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,498,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,499-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,499-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,499-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,499-4,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,500-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,500-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,500-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,500-4,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,500-5,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,500-6,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,501-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,501-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,501-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,502,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,503-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,503-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,504,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,505-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,505-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,506-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,506-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,506-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,507,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,508-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,508-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,509-1,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,509-2,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,509-3,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,509-4,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,509-5,,
01470-4501-1.zip,202602101133,中川郡音威子府村字咲来,510,,
