ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01407-4304-1.zip,202602101003,余市郡仁木町東町１５丁目,筆界未定地-1,余市郡仁木町東町１５丁目,178
01407-4304-1.zip,202602101003,余市郡仁木町東町１５丁目,筆界未定地-1,余市郡仁木町東町１５丁目,280
01407-4304-1.zip,202602101003,余市郡仁木町東町１５丁目,筆界未定地-2,余市郡仁木町東町１５丁目,68
01407-4304-1.zip,202602101003,余市郡仁木町東町１５丁目,筆界未定地-2,余市郡仁木町東町１５丁目,69
01407-4304-1.zip,202602101003,余市郡仁木町東町１５丁目,筆界未定地-2,余市郡仁木町東町１５丁目,269
01407-4304-1.zip,202602101003,余市郡仁木町東町１５丁目,筆界未定地-2,余市郡仁木町東町１５丁目,270
01407-4304-1.zip,202602101003,余市郡仁木町東町１５丁目,筆界未定地-2,余市郡仁木町東町１５丁目,271
01407-4304-1.zip,202602101003,余市郡仁木町東町１５丁目,筆界未定地-2,余市郡仁木町東町１５丁目,281
01407-4304-1.zip,202602101003,余市郡仁木町東町１６丁目,21-2,,
01407-4304-1.zip,202602101003,余市郡仁木町東町１６丁目,15-4,,
01407-4304-1.zip,202602101003,余市郡仁木町東町１６丁目,15-3,,
01407-4304-1.zip,202602101003,余市郡仁木町東町１６丁目,20-2,,
01407-4304-1.zip,202602101003,余市郡仁木町東町１６丁目,9-2,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,101-3,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,101-4,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,101-1,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,100-1,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,100-3,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,97-1,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,96-1,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,19-3,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,18-3,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,15-2,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,91,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,89,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,88,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,87,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,84,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,20,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,83,,
01407-4304-1.zip,202602101003,余市郡仁木町南町２丁目,16-2,,
01407-4304-1.zip,202602101003,余市郡仁木町南町２丁目,51,,
01407-4304-1.zip,202602101003,余市郡仁木町南町２丁目,52,,
01407-4304-1.zip,202602101003,余市郡仁木町南町２丁目,46-1,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,22,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,23,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,24,,
01407-4304-1.zip,202602101003,余市郡仁木町東町２丁目,15-3,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,82,,
01407-4304-1.zip,202602101003,余市郡仁木町東町２丁目,39-3,,
01407-4304-1.zip,202602101003,余市郡仁木町東町２丁目,40-3,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,25,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,174,,
01407-4304-1.zip,202602101003,余市郡仁木町南町２丁目,58,,
01407-4304-1.zip,202602101003,余市郡仁木町南町９丁目,26,,
