ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,242-8,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,154,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,153,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,353,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,354-1,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,362,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,152-1,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,152-2,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,158-1,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,152-3,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,152-4,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,151,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,158-3,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,398,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,159,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,145-4,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,400,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,145-1,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,145-8,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,162,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,158-2,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,341,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,397-2,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,399,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,362-2,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,166-2,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,354-2,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,144-1,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,144-2,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,166-1,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,397-1,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,167,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,337,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,339,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,165-1,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,145-6,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,340,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,145-7,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,145-5,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,165-2,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,361,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,163,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,364,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,143-1,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,143-6,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,365,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,143-4,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,143-3,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,338-2,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,143-7,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,140,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,164,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,142-6,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,142-5,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,142-3,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,142-1,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,321-1,,
01409-4304-1.zip,202602101003,余市郡赤井川村字日ノ出,142-4,,
