ファイル名,地番区域,緯度,経度
函館市/01202-4400-9.topojson,函館市東畑町,41.793301,140.872711
函館市/01202-4400-9.topojson,函館市鉄山町,41.821411,140.91925
函館市/01202-4400-9.topojson,函館市蛾眉野町,41.808548,140.973404
函館市/01202-4400-26.topojson,函館市鈴蘭丘町,41.819996,140.831406
函館市/01202-4400-26.topojson,函館市寅沢町,41.874756,140.835968
函館市/01202-4400-30.topojson,函館市滝沢町,41.800735,140.802338
函館市/01202-4400-30.topojson,函館市見晴町,41.799255,140.812805
函館市/01202-4400-30.topojson,函館市高丘町,41.789322,140.803345
函館市/01202-4400-33.topojson,函館市紅葉山町,41.863205,140.912506
函館市/01202-4400-36.topojson,函館市亀田町,41.795479,140.73378
函館市/01202-4400-37.topojson,函館市宮前町,41.789673,140.738327
函館市/01202-4400-46.topojson,函館市庵原町,41.813705,140.875763
函館市/01202-4400-49.topojson,函館市五稜郭町,41.796043,140.754379
函館市/01202-4400-49.topojson,函館市,41.768688,140.728943
函館市/01202-4400-52.topojson,函館市新二見町,41.728416,141.025513
函館市/01202-4400-52.topojson,函館市浜町,41.731533,141.009781
函館市/01202-4400-54.topojson,函館市原木町,41.74509,141.02916
函館市/01202-4400-55.topojson,函館市館町,41.725784,140.999954
函館市/01202-4400-55.topojson,函館市弁才町,41.731236,140.988098
函館市/01202-4400-67.topojson,函館市港町１丁目,41.802166,140.725266
函館市/01202-4400-67.topojson,函館市港町２丁目,41.804672,140.716766
函館市/01202-4400-67.topojson,函館市亀田港町,41.808979,140.726761
函館市/01202-4400-75.topojson,函館市住吉町,41.750629,140.7173
函館市/01202-4400-79.topojson,函館市小安町,41.747787,140.909286
函館市/01202-4400-79.topojson,函館市小安山町,41.756187,140.925079
函館市/01202-4400-79.topojson,函館市釜谷町,41.741318,140.941376
函館市/01202-4400-79.topojson,函館市汐首町,41.722301,140.957199
函館市/01202-4400-79.topojson,函館市瀬田来町,41.727398,140.974136
函館市/01202-4400-84.topojson,函館市松川町,41.785404,140.736206
函館市/01202-4400-87.topojson,函館市上湯川町,41.786339,140.818909
