ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,長狭物不明-1,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-1,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-15,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-6,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-4,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-2,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-3,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-12,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,192-1,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,192-2,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,274,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,長狭物不明-2,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,275,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,道-1,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,218-1,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,218-2,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,216,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,201,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,200,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,198-1,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,197-3,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,197-2,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,道-2,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-21,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-22,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-8,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-14,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-7,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-16,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-17,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,278-2,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,196-3,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,196-1,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,196-4,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,278-1,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,196-2,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,194,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-11,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,195,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-20,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-5,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-9,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-19,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-18,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,190-13,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,197-4,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,198-2,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,198-3,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,197-1,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,184,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,185-1,,
01519-4503-1.zip,202602101146,利尻郡利尻富士町鴛泊字湾内,185-2,,
