ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字神居,168-2,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,99-3,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字種富町,116-4,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字種富町,116-1,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字種富町,116-2,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字種富町,116-3,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字神居,46,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字種富町,長狭物不明-1,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,長狭物不明-2,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,長狭物不明-3,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,長狭物不明-4,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字神居,道-1,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字神居,410,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字神居,道-2,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字泉町,332,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字泉町,道-3,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字種富町,159-2,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,29-4,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字蘭泊,道-5,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字蘭泊,道-6,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字蘭泊,道-7,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字本町,道-8,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字本町,道-9,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字種富町,道-10,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字泉町,道-11,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,61-2,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,142-2,,
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,筆界未定地-1,利尻郡利尻町沓形字栄浜,78
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,筆界未定地-1,利尻郡利尻町沓形字栄浜,79
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,筆界未定地-2,利尻郡利尻町沓形字栄浜,85
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,筆界未定地-2,利尻郡利尻町沓形字栄浜,86
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,筆界未定地-3,利尻郡利尻町沓形字栄浜,138
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,筆界未定地-3,利尻郡利尻町沓形字栄浜,139
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,筆界未定地-4,利尻郡利尻町沓形字栄浜,145
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,筆界未定地-4,利尻郡利尻町沓形字栄浜,146
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,筆界未定地-5,利尻郡利尻町沓形字栄浜,140
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字栄浜,筆界未定地-5,利尻郡利尻町沓形字栄浜,141
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-6,利尻郡利尻町沓形字新湊,69
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-6,利尻郡利尻町沓形字新湊,70
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-7,利尻郡利尻町沓形字新湊,200
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-7,利尻郡利尻町沓形字新湊,201
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-8,利尻郡利尻町沓形字新湊,183
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-8,利尻郡利尻町沓形字新湊,184
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-9,利尻郡利尻町沓形字新湊,316
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-9,利尻郡利尻町沓形字新湊,317
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-10,利尻郡利尻町沓形字新湊,314
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-10,利尻郡利尻町沓形字新湊,315
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-12,利尻郡利尻町沓形字新湊,219
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-12,利尻郡利尻町沓形字新湊,220
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-12,利尻郡利尻町沓形字新湊,221
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-12,利尻郡利尻町沓形字新湊,222
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-12,利尻郡利尻町沓形字新湊,223
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-13,利尻郡利尻町沓形字新湊,254
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字新湊,筆界未定地-13,利尻郡利尻町沓形字新湊,255
01518-4503-1.zip,202602101146,利尻郡利尻町沓形字種富町,筆界未定地-14,利尻郡利尻町沓形字種富町,132
