ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝,3,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,176-1,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,176-2,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,176-3,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,176-4,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,176-5,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,176-6,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,176-7,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,176-8,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,176-9,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,177-1,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,177-2,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,177-3,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,177-4,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,177-5,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,178,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,179,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,180,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,181,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,182,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,183,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,184,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,185,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,186,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,187-1,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,187-4,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,187-5,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,187-8,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,187-9,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,187-10,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,187-11,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,188-1,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,188-4,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,188-5,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,188-7,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,188-8,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,189-2,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,189-3,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,189-4,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,189-5,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,190,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,192,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,193,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,194-1,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,194-2,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,195-1,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,195-2,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,196,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,197,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,198,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,199,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,200,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,201,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,202,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,203,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,204,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,207,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,水-670,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,水-677,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,水-690,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,水-699,,
01649-4601-1.zip,202602101156,十勝郡浦幌町,地区外-47126,,
01649-4601-1.zip,202602101156,十勝郡浦幌町,地区外-47127,,
01649-4601-1.zip,202602101156,十勝郡浦幌町,地区外-47128,,
01649-4601-1.zip,202602101156,十勝郡浦幌町,地区外-47129,,
01649-4601-1.zip,202602101156,十勝郡浦幌町,地区外-47130,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,189-7,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,187-13,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,187-12,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,191-1,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,187-6,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,191-3,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,191-2,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,189-6,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,189-1,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,206,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,205,,
01649-4601-1.zip,202602101156,十勝郡浦幌町字十勝太,187-7,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,1-1,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,1-3,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,1-13,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,1-30,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,1-31,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,1-32,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,1-33,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,1-34,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,1-35,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,5-1,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,6-1,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,6-2,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,6-3,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,6-4,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,6-5,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,6-6,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,6-7,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,6-8,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,6-9,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,6-10,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,7-1,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,7-2,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,7-3,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,7-4,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,7-5,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,7-6,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,7-11,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-1,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-2,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-3,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-4,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-8,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-9,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-10,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-11,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-12,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-17,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-18,,
01649-4601-2.zip,202602101156,十勝郡浦幌町字直別,8-19,,
