ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字渋井,筆界未定地-9,古宇郡泊村大字堀株村字渋井,224-1
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字渋井,筆界未定地-9,古宇郡泊村大字堀株村字渋井,224-2
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字渋井,筆界未定地-10,古宇郡泊村大字堀株村字渋井,146-1
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字渋井,筆界未定地-10,古宇郡泊村大字堀株村字渋井,146-2
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字渋井,筆界未定地-12,古宇郡泊村大字堀株村字渋井,564-1
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字渋井,筆界未定地-12,古宇郡泊村大字堀株村字渋井,大字堀株村564-2
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字茶津,筆界未定地-35,古宇郡泊村大字堀株村字茶津,83-1
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字茶津,筆界未定地-35,古宇郡泊村大字堀株村字茶津,83-2
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字茶津,筆界未定地-35,古宇郡泊村大字堀株村字茶津,83-3
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字茶津,筆界未定地-35,古宇郡泊村大字堀株村字茶津,83-4
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字茶津,筆界未定地-36,古宇郡泊村大字堀株村字茶津,156-1
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字茶津,筆界未定地-36,古宇郡泊村大字堀株村字茶津,156-2
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ上,筆界未定地-30,古宇郡泊村大字堀株村字滝ノ上,86-1
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ上,筆界未定地-30,古宇郡泊村大字堀株村字滝ノ上,86-2
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ上,筆界未定地-30,古宇郡泊村大字堀株村字滝ノ上,86-3
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ上,筆界未定地-30,古宇郡泊村大字堀株村字滝ノ上,86-4
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ上,筆界未定地-30,古宇郡泊村大字堀株村字滝ノ上,86-5
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ上,筆界未定地-30,古宇郡泊村大字堀株村字滝ノ上,86-6
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ上,筆界未定地-30,古宇郡泊村大字堀株村字滝ノ上,86-7
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ上,筆界未定地-30,古宇郡泊村大字堀株村字滝ノ上,86-8
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,大字堀株村字滝ﾉ上85-1
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,大字堀株村字滝ﾉ上85-2
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-3
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-4
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-5
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-6
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-7
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-8
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-9
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-10
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-11
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-12
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-13
01403-4334-1.zip,202602101052,古宇郡泊村大字堀株村字滝ノ澗,筆界未定地-34,古宇郡泊村大字堀株村字滝ノ澗,85-14
