ファイル名,地番区域,緯度,経度
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村,43.063004,140.498901
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字糸泊山ノ上,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字前ノ小川,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字有戸山ノ上,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字モヘル川,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字山ノ上,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字糸泊,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字出土ノ小川,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字土場,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字山越,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字大川,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字狸沢,43.093159,140.509338
古宇郡泊村/01403-4334-6.topojson,古宇郡泊村大字泊村字中峰,43.093159,140.509338
古宇郡泊村/01403-4334-7.topojson,古宇郡泊村大字泊村字照岸山ノ上,43.093159,140.509338
古宇郡泊村/01403-4334-7.topojson,古宇郡泊村大字泊村字メノコ走,43.093159,140.509338
古宇郡泊村/01403-4334-7.topojson,古宇郡泊村大字泊村字照岸,43.093159,140.509338
古宇郡泊村/01403-4334-7.topojson,古宇郡泊村大字泊村字甲,43.093159,140.509338
古宇郡泊村/01403-4334-9.topojson,古宇郡泊村大字盃村,43.121696,140.51825
古宇郡泊村/01403-4334-9.topojson,古宇郡泊村大字盃村字山ノ神,43.121696,140.51825
古宇郡泊村/01403-4334-9.topojson,古宇郡泊村大字盃村字キコナイ沢,43.121696,140.51825
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字茂岩,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字塩越沢,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字川端,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字梅田沢,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字ユウトマリ,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字越中屋沢,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字学校裏,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字御殿,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字山ノ上,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字滝ノ沢,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字滝ノ下,43.12352,140.472824
古宇郡泊村/01403-4334-10.topojson,古宇郡泊村大字興志内村字滝ノ上,43.12352,140.472824
古宇郡泊村/01403-4334-11.topojson,古宇郡泊村大字興志内村字湯ノ沢,43.12352,140.472824
古宇郡泊村/01403-4334-11.topojson,古宇郡泊村大字興志内村字新道,43.12352,140.472824
古宇郡泊村/01403-4334-11.topojson,古宇郡泊村大字興志内村字コハカスノ沢,43.12352,140.472824
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字甲前山,43.121696,140.51825
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字山ノ上,43.121696,140.51825
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字盃山,43.121696,140.51825
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字中峰,43.121696,140.51825
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字ガンビタイ,43.121696,140.51825
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字市松沢,43.121696,140.51825
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字山小崎,43.121696,140.51825
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字寺町,43.121696,140.51825
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字墓地ノ上,43.121696,140.51825
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字長左エ門沢,43.121696,140.51825
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字長右エ門沢,43.121696,140.51825
古宇郡泊村/01403-4334-12.topojson,古宇郡泊村大字盃村字バンノ沢,43.121696,140.51825
