ファイル名,地番区域,緯度,経度
古宇郡神恵内村/01404-4334-1.topojson,古宇郡神恵内村大字神恵内村字新道,43.18137,140.476364
古宇郡神恵内村/01404-4334-1.topojson,古宇郡神恵内村,43.143364,140.430801
古宇郡神恵内村/01404-4334-1.topojson,古宇郡神恵内村大字神恵内村,43.18137,140.476364
古宇郡神恵内村/01404-4334-4.topojson,古宇郡神恵内村大字神恵内村字トーマル,43.18137,140.476364
古宇郡神恵内村/01404-4334-5.topojson,古宇郡神恵内村大字神恵内村字瀧ノ沢,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字浜中,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字長屋沢,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字マキフキ,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字横澗,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字大川,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字ホロハタリ,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字カモイ沢,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字マキツケ,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字ツボ石,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字ヤエダウス,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字ワラビ山,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字ビビトリ,43.18137,140.476364
古宇郡神恵内村/01404-4334-6.topojson,古宇郡神恵内村大字神恵内村字炭焼沢,43.18137,140.476364
