ファイル名,地番区域,緯度,経度
夕張市/01209-4301-1.topojson,夕張市南清水沢３丁目,42.981644,141.978241
夕張市/01209-4301-1.topojson,夕張市,43.056732,141.973923
夕張市/01209-4301-1.topojson,夕張市南清水沢１丁目,42.992321,141.996277
夕張市/01209-4301-2.topojson,夕張市沼ノ沢,42.970871,141.980423
夕張市/01209-4301-5.topojson,夕張市楓,42.940018,142.084076
夕張市/01209-4301-5.topojson,夕張市真谷地,42.975597,142.082047
夕張市/01209-4301-6.topojson,夕張市紅葉山,42.91016,142.058197
夕張市/01209-4301-7.topojson,夕張市登川,42.938309,142.121368
夕張市/01209-4301-10.topojson,夕張市南部大宮町,43.032166,142.085541
夕張市/01209-4301-10.topojson,夕張市南部若美町,43.033863,142.06929
夕張市/01209-4301-11.topojson,夕張市鹿島白金,43.053707,142.195206
夕張市/01209-4301-12.topojson,夕張市南部青葉町,42.988964,142.254272
夕張市/01209-4301-13.topojson,夕張市南部幌南町,43.013641,142.059082
