ファイル名,地番区域,緯度,経度
夕張郡栗山町/01429-4301-3.topojson,夕張郡栗山町字北学田,43.062183,141.824417
夕張郡栗山町/01429-4301-3.topojson,夕張郡栗山町,43.056328,141.784256
夕張郡栗山町/01429-4301-5.topojson,夕張郡栗山町中央４丁目,43.052891,141.780548
夕張郡栗山町/01429-4301-5.topojson,夕張郡栗山町松風４丁目,43.05349,141.786713
夕張郡栗山町/01429-4301-5.topojson,夕張郡栗山町中央３丁目,43.056751,141.779694
夕張郡栗山町/01429-4301-5.topojson,夕張郡栗山町松風３丁目,43.057465,141.786011
夕張郡栗山町/01429-4301-6.topojson,夕張郡栗山町字円山,42.958294,141.912323
夕張郡栗山町/01429-4301-7.topojson,夕張郡栗山町字日出,43.061298,141.898895
夕張郡栗山町/01429-4301-8.topojson,夕張郡栗山町字本沢,43.086674,141.880035
夕張郡栗山町/01429-4301-8.topojson,夕張郡栗山町字雨煙別,43.100048,141.856842
