ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01428-4301-1.zip,202602100948,夕張郡長沼町,地区外-1152072,,
01428-4301-1.zip,202602100948,夕張郡長沼町,2300-12,,
01428-4301-1.zip,202602100948,夕張郡長沼町,2300-11,,
01428-4301-1.zip,202602100948,夕張郡長沼町,地区外-1152075,,
01428-4301-1.zip,202602100948,夕張郡長沼町,2300-14,,
01428-4301-1.zip,202602100948,夕張郡長沼町,2300-17,,
01428-4301-1.zip,202602100948,夕張郡長沼町,406-33,,
01428-4301-1.zip,202602100948,夕張郡長沼町,406-32,,
01428-4301-1.zip,202602100948,夕張郡長沼町,406-37,,
01428-4301-1.zip,202602100948,夕張郡長沼町,地区外-1152079,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153188,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4629,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4622,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4560-3,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4632,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4630,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4558-5,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153195,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4563-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153197,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4559-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4562-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4558-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4561-3,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4560-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4582-1,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4591-3,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153205,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4591-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4601-1,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4551-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153209,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4550-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4552-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4552-3,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153213,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4569-1,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4566-1,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4566-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153217,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153218,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153219,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4567-1,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4568-1,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153222,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4603-1,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4618,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4619,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4621,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4617,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4615,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4616,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4620,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153232,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4628,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4631,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4573-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153236,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4566-3,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4568-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4567-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153240,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4623-4,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4608-3,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4605-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153244,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4627-2,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4627-1,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4609-1,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4623-1,,
01428-4301-2.zip,202602100948,夕張郡長沼町,4608-1,,
01428-4301-2.zip,202602100948,夕張郡長沼町,地区外-1153250,,
