ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385056,,
01488-4503-1.zip,202602101146,天塩郡幌延町字問寒別,水-1,,
01488-4503-1.zip,202602101146,天塩郡幌延町字問寒別,208,,
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385059,,
01488-4503-1.zip,202602101146,天塩郡幌延町字問寒別,207,,
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385061,,
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385062,,
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385064,,
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385066,,
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385068,,
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385073,,
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385074,,
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385075,,
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385076,,
01488-4503-1.zip,202602101146,天塩郡幌延町,地区外-385077,,
01488-4503-1.zip,202602101146,天塩郡幌延町字問寒別,01393,,
01488-4503-1.zip,202602101146,天塩郡幌延町字問寒別,01394,,
01488-4503-1.zip,202602101146,天塩郡幌延町字問寒別,01395,,
01488-4503-1.zip,202602101146,天塩郡幌延町字問寒別,01396,,
01488-4503-1.zip,202602101146,天塩郡幌延町字問寒別,01145-2,,
01488-4503-1.zip,202602101146,天塩郡幌延町字問寒別,01145-3,,
01488-4503-1.zip,202602101146,天塩郡幌延町字問寒別,01145-1,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,長狭物不明-1,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,水-1,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,水-2,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,長狭物不明-2,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,長狭物不明-3,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,水-3,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,長狭物不明-4,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,長狭物不明-5,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,水-4,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,186,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386242,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,187,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386244,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386245,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386246,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,長狭物不明-6,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,長狭物不明-7,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,184,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,183,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,185,,
01488-4503-2.zip,202602101146,天塩郡幌延町字浜里,182,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386253,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,489,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,543-1,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,543-6,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,543-5,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,543-4,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386259,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,434,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,465,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,水-5,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,水-6,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,水-7,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,545,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,544,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386267,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386268,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,433,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,水-8,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,水-9,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,1286,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,1285,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386274,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,543-8,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386276,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,520,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,長狭物不明-8,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,547,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,水-10,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386281,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,水-11,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386283,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,546,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386285,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,水-12,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386287,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386288,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,水-13,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386290,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,水-14,,
01488-4503-2.zip,202602101146,天塩郡幌延町字下沼,水-15,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386293,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,38-1,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386295,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,39-1,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,2,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,水-16,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,水-17,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,水-18,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386301,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,1,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,水-19,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,水-20,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386305,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,38-15,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,38-16,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,水-22,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386310,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,38-13,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386312,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386313,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,水-23,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386315,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,38-14,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,39-5,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,39-3,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386320,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,39-4,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,39-6,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,水-25,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,38-12,,
01488-4503-2.zip,202602101146,天塩郡幌延町,地区外-386325,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,水-24,,
01488-4503-2.zip,202602101146,天塩郡幌延町字幌延,水-21-5,,
01488-4503-3.zip,202602101146,天塩郡幌延町字雄興,長狭物不明-1,,
01488-4503-3.zip,202602101146,天塩郡幌延町,地区外-389209,,
01488-4503-3.zip,202602101146,天塩郡幌延町字雄興,長狭物不明-2,,
01488-4503-3.zip,202602101146,天塩郡幌延町字雄興,長狭物不明-3,,
01488-4503-3.zip,202602101146,天塩郡幌延町字雄興,長狭物不明-4,,
01488-4503-3.zip,202602101146,天塩郡幌延町字雄興,126-2,,
01488-4503-3.zip,202602101146,天塩郡幌延町字雄興,233,,
01488-4503-3.zip,202602101146,天塩郡幌延町字雄興,126-1,,
01488-4503-3.zip,202602101146,天塩郡幌延町字雄興,長狭物不明-5,,
