ファイル名,地番区域,緯度,経度
室蘭市/01205-4302-1.topojson,室蘭市寿町３丁目,42.345997,141.035095
室蘭市/01205-4302-1.topojson,室蘭市日の出町１丁目,42.352749,141.037048
室蘭市/01205-4302-1.topojson,室蘭市日の出町３丁目,42.350838,141.046021
室蘭市/01205-4302-1.topojson,室蘭市日の出町２丁目,42.355503,141.041245
室蘭市/01205-4302-1.topojson,室蘭市寿町２丁目,42.35091,141.033691
室蘭市/01205-4302-1.topojson,室蘭市寿町１丁目,42.34903,141.03038
室蘭市/01205-4302-18.topojson,室蘭市祝津町３丁目,42.335415,140.944611
室蘭市/01205-4302-26.topojson,室蘭市中島町１丁目,42.352448,141.015091
室蘭市/01205-4302-26.topojson,室蘭市中島町２丁目,42.351772,141.018265
室蘭市/01205-4302-26.topojson,室蘭市中島町４丁目,42.347603,141.017883
室蘭市/01205-4302-26.topojson,室蘭市中島町３丁目,42.350212,141.023651
室蘭市/01205-4302-26.topojson,室蘭市宮の森町４丁目,42.353077,141.026794
室蘭市/01205-4302-26.topojson,室蘭市知利別町１丁目,42.357903,141.019516
室蘭市/01205-4302-26.topojson,室蘭市宮の森町１丁目,42.35548,141.023239
室蘭市/01205-4302-26.topojson,室蘭市宮の森町２丁目,42.359501,141.029861
室蘭市/01205-4302-26.topojson,室蘭市知利別町３丁目,42.363319,141.023727
室蘭市/01205-4302-26.topojson,室蘭市知利別町２丁目,42.360477,141.023544
室蘭市/01205-4302-26.topojson,室蘭市中島本町２丁目,42.357262,141.011597
室蘭市/01205-4302-27.topojson,室蘭市東町２丁目,42.346478,141.026611
室蘭市/01205-4302-27.topojson,室蘭市東町３丁目,42.339024,141.029526
室蘭市/01205-4302-27.topojson,室蘭市東町４丁目,42.340271,141.025864
室蘭市/01205-4302-27.topojson,室蘭市東町５丁目,42.338387,141.02066
室蘭市/01205-4302-27.topojson,室蘭市東町１丁目,42.343853,141.022476
室蘭市/01205-4302-28.topojson,室蘭市高砂町４丁目,42.370136,141.033936
室蘭市/01205-4302-28.topojson,室蘭市高砂町３丁目,42.365215,141.033585
室蘭市/01205-4302-28.topojson,室蘭市高砂町５丁目,42.373955,141.03566
室蘭市/01205-4302-28.topojson,室蘭市宮の森町３丁目,42.355499,141.031113
室蘭市/01205-4302-28.topojson,室蘭市高砂町１丁目,42.359627,141.037872
室蘭市/01205-4302-28.topojson,室蘭市天神町,42.372738,141.025055
室蘭市/01205-4302-28.topojson,室蘭市水元町,42.388351,141.022202
室蘭市/01205-4302-28.topojson,室蘭市高砂町２丁目,42.362141,141.034744
室蘭市/01205-4302-28.topojson,室蘭市知利別町４丁目,42.366055,141.026291
室蘭市/01205-4302-43.topojson,室蘭市絵鞆町２丁目,42.335037,140.935333
室蘭市/01205-4302-43.topojson,室蘭市絵鞆町３丁目,42.3316,140.940567
室蘭市/01205-4302-43.topojson,室蘭市祝津町２丁目,42.337204,140.950424
室蘭市/01205-4302-43.topojson,室蘭市絵鞆町１丁目,42.33704,140.939148
