ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01229-4500-1.zip,202602101112,富良野市,2774,,
01229-4500-1.zip,202602101112,富良野市,2778,,
01229-4500-1.zip,202602101112,富良野市,2779,,
01229-4500-1.zip,202602101112,富良野市,2780,,
01229-4500-1.zip,202602101112,富良野市,2781,,
01229-4500-1.zip,202602101112,富良野市,2782,,
01229-4500-1.zip,202602101112,富良野市,2783-1,,
01229-4500-1.zip,202602101112,富良野市,2783-2,,
01229-4500-1.zip,202602101112,富良野市,2784,,
01229-4500-1.zip,202602101112,富良野市,2785,,
01229-4500-1.zip,202602101112,富良野市,2786,,
01229-4500-1.zip,202602101112,富良野市,2787,,
01229-4500-1.zip,202602101112,富良野市,2788,,
01229-4500-1.zip,202602101112,富良野市,2789,,
01229-4500-1.zip,202602101112,富良野市,2790-1,,
01229-4500-1.zip,202602101112,富良野市,2790-2,,
01229-4500-1.zip,202602101112,富良野市,2791,,
01229-4500-1.zip,202602101112,富良野市,2792,,
01229-4500-1.zip,202602101112,富良野市,2793,,
01229-4500-1.zip,202602101112,富良野市,2794,,
01229-4500-1.zip,202602101112,富良野市,2795,,
01229-4500-1.zip,202602101112,富良野市,2796,,
01229-4500-1.zip,202602101112,富良野市,2797,,
01229-4500-1.zip,202602101112,富良野市,2798,,
01229-4500-1.zip,202602101112,富良野市,2799,,
01229-4500-1.zip,202602101112,富良野市,2800-2,,
01229-4500-1.zip,202602101112,富良野市,2802-3,,
01229-4500-1.zip,202602101112,富良野市,2804,,
01229-4500-1.zip,202602101112,富良野市,2805,,
01229-4500-1.zip,202602101112,富良野市,2806,,
01229-4500-1.zip,202602101112,富良野市,2810-1,,
01229-4500-1.zip,202602101112,富良野市,2810-2,,
01229-4500-1.zip,202602101112,富良野市,2810-3,,
01229-4500-1.zip,202602101112,富良野市,2811,,
01229-4500-1.zip,202602101112,富良野市,2812,,
01229-4500-1.zip,202602101112,富良野市,2814,,
01229-4500-1.zip,202602101112,富良野市,2815,,
01229-4500-1.zip,202602101112,富良野市,2816,,
01229-4500-1.zip,202602101112,富良野市,2817-1,,
01229-4500-1.zip,202602101112,富良野市,2817-2,,
01229-4500-1.zip,202602101112,富良野市,2818,,
01229-4500-1.zip,202602101112,富良野市,2819,,
01229-4500-1.zip,202602101112,富良野市,2820,,
01229-4500-1.zip,202602101112,富良野市,2821,,
01229-4500-1.zip,202602101112,富良野市,2822,,
01229-4500-1.zip,202602101112,富良野市,2823-1,,
01229-4500-1.zip,202602101112,富良野市,2823-2,,
01229-4500-1.zip,202602101112,富良野市,2824,,
01229-4500-1.zip,202602101112,富良野市,2825,,
01229-4500-1.zip,202602101112,富良野市,2826,,
01229-4500-1.zip,202602101112,富良野市,2827,,
01229-4500-1.zip,202602101112,富良野市,2828-1,,
01229-4500-1.zip,202602101112,富良野市,2828-2,,
01229-4500-1.zip,202602101112,富良野市,2829,,
01229-4500-1.zip,202602101112,富良野市,2830,,
01229-4500-1.zip,202602101112,富良野市,2831,,
01229-4500-1.zip,202602101112,富良野市,2832,,
01229-4500-1.zip,202602101112,富良野市,2833,,
01229-4500-1.zip,202602101112,富良野市,2834-1,,
