ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,335-15,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,503-9V1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,503-15,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,水-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,水-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,411-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,114-5,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,107-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,119-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,水-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町,地区外-96286,,
01392-4402-1.zip,202602101139,寿都郡寿都町,地区外-96287,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,115-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,115-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,148-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,148-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,148-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,675-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,675-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,149-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,149-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,水-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町,地区外-96298,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,113-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,114-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,112-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,112-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,75-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,水-5,,
01392-4402-1.zip,202602101139,寿都郡寿都町,地区外-96305,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,689-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,52-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,66-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,70-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,54-10,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,56,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,水-6,,
01392-4402-1.zip,202602101139,寿都郡寿都町,地区外-96313,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,680-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,17-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町下湯別,14-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,70-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,71-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,82-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,72-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,78,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,72-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,78-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,72-5,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,90-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,79-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,79,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,79-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,79-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,130-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,90-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,136-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,136-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,138-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,138-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町,地区外-96336,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,73-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,73-7,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,73-6,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,38-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,水-7,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,11-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,9-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,9-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,8-6,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,8-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,8-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,11-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,8-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,10-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,38-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,11-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,10-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,8-7,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,37,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,5-7,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,8-5,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,36,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,5-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,72-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,72-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,78-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,73-5,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,135,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,73-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,73-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,72-6,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,99-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,99-5,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,水-8,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町上湯別,147-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町上湯別,146-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町上湯別,146-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町上湯別,146-5,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町上湯別,道-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町上湯別,水-9,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,88-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,88-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町上湯別,138-11,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,87,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,85,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,70-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,86,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,130-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,90-6,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,88-3,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町上湯別,138-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町上湯別,138-12,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,130,,
01392-4402-1.zip,202602101139,寿都郡寿都町,地区外-96390,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,133,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,132,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,128,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,126,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,126-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,94-4,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,94-5,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,94-2,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,96-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,99-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,94-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,94-7,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,91-1,,
01392-4402-1.zip,202602101139,寿都郡寿都町字湯別町丸山,90-5,,
