ファイル名,地番区域,緯度,経度
寿都郡黒松内町/01393-4402-34.topojson,寿都郡黒松内町字大成,42.617138,140.479553
寿都郡黒松内町/01393-4402-34.topojson,寿都郡黒松内町,42.667892,140.307526
寿都郡黒松内町/01393-4402-35.topojson,寿都郡黒松内町字熱郛原野,42.670452,140.340347
寿都郡黒松内町/01393-4402-36.topojson,寿都郡黒松内町字観音岱,42.667892,140.307526
寿都郡黒松内町/01393-4402-46.topojson,寿都郡黒松内町字白炭,42.709972,140.301758
寿都郡黒松内町/01393-4402-47.topojson,寿都郡黒松内町字赤井川,42.664619,140.429031
寿都郡黒松内町/01393-4402-48.topojson,寿都郡黒松内町字西熱郛原野,42.710915,140.372986
寿都郡黒松内町/01393-4402-50.topojson,寿都郡黒松内町字西沢,42.63512,140.27449
寿都郡黒松内町/01393-4402-51.topojson,寿都郡黒松内町字東川,42.662979,140.491318
寿都郡黒松内町/01393-4402-54.topojson,寿都郡黒松内町字歌才,42.638206,140.324738
寿都郡黒松内町/01393-4402-55.topojson,寿都郡黒松内町字黒松内,42.661247,140.309265
寿都郡黒松内町/01393-4402-56.topojson,寿都郡黒松内町字豊幌,42.622581,140.376938
寿都郡黒松内町/01393-4402-57.topojson,寿都郡黒松内町字北作開,42.759804,140.325668
