ファイル名,地番区域,緯度,経度
山越郡長万部町/01347-4402-1.topojson,山越郡長万部町字国縫,42.438988,140.319611
山越郡長万部町/01347-4402-1.topojson,山越郡長万部町字花岡,42.462933,140.327271
山越郡長万部町/01347-4402-3.topojson,山越郡長万部町字栗岡,42.538895,140.351425
山越郡長万部町/01347-4402-3.topojson,山越郡長万部町字富野,42.510647,140.357147
山越郡長万部町/01347-4402-3.topojson,山越郡長万部町,42.513538,140.38031
山越郡長万部町/01347-4402-4.topojson,山越郡長万部町字知来,42.595646,140.30368
山越郡長万部町/01347-4402-5.topojson,山越郡長万部町字双葉,42.574432,140.316971
山越郡長万部町/01347-4402-8.topojson,山越郡長万部町字茶屋川,42.46043,140.27478
山越郡長万部町/01347-4402-11.topojson,山越郡長万部町字平里,42.495049,140.349884
山越郡長万部町/01347-4402-13.topojson,山越郡長万部町字蕨岱,42.609413,140.327438
山越郡長万部町/01347-4402-26.topojson,山越郡長万部町字美畑,42.562859,140.344315
山越郡長万部町/01347-4402-30.topojson,山越郡長万部町字大峯,42.586102,140.235657
山越郡長万部町/01347-4402-31.topojson,山越郡長万部町字共立,42.560539,140.403961
山越郡長万部町/01347-4402-31.topojson,山越郡長万部町字静狩,42.584538,140.460556
