ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,10-6,,
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,10-7,,
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,97-3,,
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,15-11,,
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,15-10,,
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,812,,
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,筆界未定地-45,岩内郡岩内町字野束,410-1
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,筆界未定地-45,岩内郡岩内町字野束,410-2
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,147-2,,
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,162-37,,
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,162-36,,
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,162-30,,
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,162-34,,
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,筆界未定地-48,岩内郡岩内町字野束,ﾛ80-1
01402-4334-1.zip,202602101052,岩内郡岩内町字野束,筆界未定地-48,岩内郡岩内町字野束,80-2
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24338,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24339,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24340,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24341,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24342,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24343,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24344,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24345,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24346,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24347,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24348,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24349,,
01402-4334-1.zip,202602101052,岩内郡岩内町,地区外-24351,,
