ファイル名,地番区域,緯度,経度
岩内郡岩内町/01402-4334-14.topojson,岩内郡岩内町字敷島内,42.940567,140.449158
岩内郡岩内町/01402-4334-14.topojson,岩内郡岩内町,42.979813,140.51474
岩内郡岩内町/01402-4334-15.topojson,岩内郡岩内町字大和,42.983517,140.509109
岩内郡岩内町/01402-4334-15.topojson,岩内郡岩内町字万代,42.983677,140.514587
岩内郡岩内町/01402-4334-15.topojson,岩内郡岩内町字大浜,42.990887,140.521774
岩内郡岩内町/01402-4334-15.topojson,岩内郡岩内町字高台,42.97879,140.514175
岩内郡岩内町/01402-4334-15.topojson,岩内郡岩内町字東山,42.98243,140.526917
岩内郡岩内町/01402-4334-15.topojson,岩内郡岩内町字栄,42.979416,140.521591
岩内郡岩内町/01402-4334-15.topojson,岩内郡岩内町字御崎,42.983955,140.506073
岩内郡岩内町/01402-4334-15.topojson,岩内郡岩内町字清住,42.979435,140.506058
