ファイル名,地番区域,緯度,経度
川上郡弟子屈町/01665-4600-1.topojson,川上郡弟子屈町字跡佐登原野六十二線,43.634686,144.466919
川上郡弟子屈町/01665-4600-1.topojson,川上郡弟子屈町字美留和,43.556114,144.41893
川上郡弟子屈町/01665-4600-1.topojson,川上郡弟子屈町字美留和原野,43.556114,144.41893
川上郡弟子屈町/01665-4600-1.topojson,川上郡弟子屈町字アトサヌプリ原野六十一線,43.610508,144.45694
川上郡弟子屈町/01665-4600-1.topojson,川上郡弟子屈町字札友内,43.526882,144.399765
川上郡弟子屈町/01665-4600-1.topojson,川上郡弟子屈町字跡佐登,43.663094,144.427292
川上郡弟子屈町/01665-4600-2.topojson,川上郡弟子屈町字跡佐登原野六十三線,43.634686,144.466919
川上郡弟子屈町/01665-4600-2.topojson,川上郡弟子屈町字跡佐登原野六十六線,43.634686,144.466919
川上郡弟子屈町/01665-4600-2.topojson,川上郡弟子屈町字弟子屈原野,43.510761,144.471954
川上郡弟子屈町/01665-4600-3.topojson,川上郡弟子屈町字屈斜路原野,43.547684,144.340042
川上郡弟子屈町/01665-4600-5.topojson,川上郡弟子屈町字屈斜路,43.571152,144.308899
川上郡弟子屈町/01665-4600-5.topojson,川上郡弟子屈町桜丘３丁目,43.475323,144.445389
川上郡弟子屈町/01665-4600-5.topojson,川上郡弟子屈町桜丘２丁目,43.474968,144.448898
川上郡弟子屈町/01665-4600-6.topojson,川上郡弟子屈町字アトサヌプリ原野七十一線,43.610508,144.45694
川上郡弟子屈町/01665-4600-6.topojson,川上郡弟子屈町字アトサヌプリ原野七十五線,43.610508,144.45694
川上郡弟子屈町/01665-4600-6.topojson,川上郡弟子屈町字アトサヌプリ原野七十三線,43.610508,144.45694
川上郡弟子屈町/01665-4600-6.topojson,川上郡弟子屈町字アトサヌプリ原野七十二線,43.610508,144.45694
川上郡弟子屈町/01665-4600-6.topojson,川上郡弟子屈町字アトサヌプリ原野七十四線,43.610508,144.45694
川上郡弟子屈町/01665-4600-6.topojson,川上郡弟子屈町字アトサヌプリ原野七十六線,43.610508,144.45694
川上郡弟子屈町/01665-4600-6.topojson,川上郡弟子屈町字アトサヌプリ原野七十線,43.610508,144.45694
