ファイル名,地番区域,緯度,経度
川上郡標茶町/01664-4600-4.topojson,川上郡標茶町字クチョロ原野,43.297096,144.390717
川上郡標茶町/01664-4600-4.topojson,川上郡標茶町字塘路原野北十一線,43.155453,144.575409
川上郡標茶町/01664-4600-4.topojson,川上郡標茶町字塘路原野北十線,43.155453,144.575409
川上郡標茶町/01664-4600-5.topojson,川上郡標茶町字阿歴内原野北三線,43.093731,144.631882
川上郡標茶町/01664-4600-5.topojson,川上郡標茶町字クチョロ原野北三十九線,43.297096,144.390717
川上郡標茶町/01664-4600-5.topojson,川上郡標茶町字クチョロ原野北四十九線,43.297096,144.390717
川上郡標茶町/01664-4600-5.topojson,川上郡標茶町字クチョロ原野北四十八線,43.297096,144.390717
川上郡標茶町/01664-4600-5.topojson,川上郡標茶町字塘路原野,43.155453,144.575409
川上郡標茶町/01664-4600-5.topojson,川上郡標茶町字塘路,43.148277,144.505981
川上郡標茶町/01664-4600-6.topojson,川上郡標茶町字塘路原野北十五線,43.155453,144.575409
川上郡標茶町/01664-4600-6.topojson,川上郡標茶町字塘路原野北十三線,43.155453,144.575409
川上郡標茶町/01664-4600-6.topojson,川上郡標茶町字塘路原野北十二線,43.155453,144.575409
川上郡標茶町/01664-4600-6.topojson,川上郡標茶町字塘路原野北十四線,43.155453,144.575409
川上郡標茶町/01664-4600-7.topojson,川上郡標茶町字オソツベツ,43.353127,144.474503
川上郡標茶町/01664-4600-8.topojson,川上郡標茶町字コッタロ,43.236248,144.451309
川上郡標茶町/01664-4600-10.topojson,川上郡標茶町旭２丁目,43.300415,144.605713
川上郡標茶町/01664-4600-10.topojson,川上郡標茶町富士２丁目,43.297863,144.605957
川上郡標茶町/01664-4600-11.topojson,川上郡標茶町字オソツベツ原野二十五線,43.19886,144.479263
川上郡標茶町/01664-4600-11.topojson,川上郡標茶町字オソツベツ原野二十三線,43.19886,144.479263
川上郡標茶町/01664-4600-11.topojson,川上郡標茶町字オソツベツ原野二十七線,43.19886,144.479263
川上郡標茶町/01664-4600-11.topojson,川上郡標茶町字オソツベツ原野二十四線,43.19886,144.479263
川上郡標茶町/01664-4600-11.topojson,川上郡標茶町字オソツベツ原野二十六線,43.19886,144.479263
川上郡標茶町/01664-4600-11.topojson,川上郡標茶町字クチョロ原野北二十七線,43.297096,144.390717
川上郡標茶町/01664-4600-11.topojson,川上郡標茶町字クチョロ原野北四十五線,43.297096,144.390717
川上郡標茶町/01664-4600-11.topojson,川上郡標茶町字クチョロ原野北四十七線,43.297096,144.390717
川上郡標茶町/01664-4600-11.topojson,川上郡標茶町字クチョロ原野北四十四線,43.297096,144.390717
川上郡標茶町/01664-4600-11.topojson,川上郡標茶町字クチョロ原野北四十六線,43.297096,144.390717
川上郡標茶町/01664-4600-11.topojson,川上郡標茶町字クチョロ原野北四十六線西,43.297096,144.390717
川上郡標茶町/01664-4600-12.topojson,川上郡標茶町字ウライヤ,43.155968,144.502243
川上郡標茶町/01664-4600-12.topojson,川上郡標茶町字サルボ,43.167095,144.490387
川上郡標茶町/01664-4600-12.topojson,川上郡標茶町字塘路原野北九線,43.155453,144.575409
川上郡標茶町/01664-4600-12.topojson,川上郡標茶町字塘路原野北七線,43.155453,144.575409
川上郡標茶町/01664-4600-12.topojson,川上郡標茶町字塘路原野北八線,43.155453,144.575409
川上郡標茶町/01664-4600-12.topojson,川上郡標茶町,43.303349,144.600662
