ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01207-4601-1.zip,202602101156,帯広市岩内町三線,92-7,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,92-8,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,94-8,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,95-4,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,95-5,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,96-5,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,96-6,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,96-7,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,99,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,100,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,101-1,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,101-2,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,102,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,103-1,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,103-2,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,104-1,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,104-2,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,105-1,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,105-2,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,105-3,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,105-4,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,106-1,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,107-1,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,107-2,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,108,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,道-1,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,水-1,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,水-2,,
01207-4601-1.zip,202602101156,帯広市岩内町三線,無地番-1,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,1-1,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,1-2,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,1-3,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,1-4,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,2,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,3,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,4,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,8,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,9,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,10,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,11-1,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,11-2,,
01207-4601-2.zip,202602101156,帯広市西一条南３２丁目,12,,
01207-4601-2.zip,202602101156,帯広市西一条南３３丁目,1,,
01207-4601-2.zip,202602101156,帯広市西一条南３３丁目,2,,
01207-4601-2.zip,202602101156,帯広市西一条南３３丁目,3,,
01207-4601-2.zip,202602101156,帯広市西一条南３３丁目,4,,
01207-4601-2.zip,202602101156,帯広市西一条南３３丁目,5,,
01207-4601-2.zip,202602101156,帯広市西一条南３３丁目,6,,
01207-4601-2.zip,202602101156,帯広市西一条南３３丁目,7-1,,
01207-4601-2.zip,202602101156,帯広市西一条南３３丁目,7-2,,
01207-4601-2.zip,202602101156,帯広市西二条南３２丁目,1-1,,
01207-4601-2.zip,202602101156,帯広市西二条南３２丁目,1-2,,
01207-4601-2.zip,202602101156,帯広市西二条南３２丁目,2,,
