ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-2,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-3,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-4,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-6,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-7,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-8,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-9,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-11,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-12,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-13,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-14,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-15,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-16,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-17,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-18,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-19,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-20,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-25,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-26,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-29,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-32,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,3-34,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,4-5,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,4-6,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,4-7,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,7-1,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,7-3,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,7-5,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,8-2,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,8-3,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,8-4,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,9,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,10-2,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,19-3,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,19-4,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,19-6,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,20-2,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,39-1,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,39-2,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,40-2,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,40-3,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,42-1,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,42-2,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,42-3,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,45,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,47-2,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,47-3,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,47-5,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,49-1,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,49-2,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,49-3,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,49-7,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,49-8,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,49-10,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,49-11,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,50-2,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,50-3,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,50-5,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,51,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,道-1,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,道-2,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,道-3,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,19-7,,
01552-4603-1.zip,202602101215,常呂郡佐呂間町字栄,20-1,,
01552-4603-2.zip,202602101215,常呂郡佐呂間町字共立,40-1,,
01552-4603-2.zip,202602101215,常呂郡佐呂間町字共立,41-1,,
01552-4603-2.zip,202602101215,常呂郡佐呂間町字共立,42,,
01552-4603-2.zip,202602101215,常呂郡佐呂間町字共立,43,,
01552-4603-2.zip,202602101215,常呂郡佐呂間町字共立,44,,
01552-4603-2.zip,202602101215,常呂郡佐呂間町字共立,45-1,,
01552-4603-2.zip,202602101215,常呂郡佐呂間町字共立,45-2,,
01552-4603-2.zip,202602101215,常呂郡佐呂間町字共立,46-1,,
01552-4603-2.zip,202602101215,常呂郡佐呂間町字共立,46-3,,
01552-4603-2.zip,202602101215,常呂郡佐呂間町字共立,47-1,,
