ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01609-4329-1.zip,202602101046,幌泉郡えりも町,地区外-664247,,
01609-4329-1.zip,202602101046,幌泉郡えりも町,地区外-664248,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,71-1,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,71-255,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,71-253,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,71-252,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,71-254,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,71-248,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,89,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,517,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,86,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,88,,
01609-4329-1.zip,202602101046,幌泉郡えりも町,地区外-664259,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,71-235,,
01609-4329-1.zip,202602101046,幌泉郡えりも町,地区外-664261,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,544-1,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,543-1,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,1015,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,549-3,,
01609-4329-1.zip,202602101046,幌泉郡えりも町,地区外-664266,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,水-1098,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,8-2,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,水-1099,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,8-1,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,241-1,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,241-90,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,道-1195,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,道-1196,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,245-1,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,241-92,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字東洋,501,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,242,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,1014,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,562,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,563,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,水-1100,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,552-3,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,552-2,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,552-1,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,570-3,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,544-3,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,544-4,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,542,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,549-1,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,551,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,549-2,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,550,,
01609-4329-1.zip,202602101046,幌泉郡えりも町,地区外-664294,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,1016,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,水-1101,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,544-7,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,544-9,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,544-2,,
01609-4329-1.zip,202602101046,幌泉郡えりも町字歌別,549-4,,
