ファイル名,地番区域,緯度,経度
広尾郡広尾町/01642-4601-2.topojson,広尾郡広尾町字ポロフレーベツ,42.383762,143.265762
広尾郡広尾町/01642-4601-3.topojson,広尾郡広尾町字野塚,42.343128,143.255066
広尾郡広尾町/01642-4601-4.topojson,広尾郡広尾町字広尾,42.268501,143.256165
広尾郡広尾町/01642-4601-4.topojson,広尾郡広尾町字茂寄,42.293503,143.271988
広尾郡広尾町/01642-4601-4.topojson,広尾郡広尾町字ラッコベツ,42.319969,143.2771
広尾郡広尾町/01642-4601-5.topojson,広尾郡広尾町字エビニマイ,42.259705,143.309326
広尾郡広尾町/01642-4601-5.topojson,広尾郡広尾町字ヲナヲベツ,42.284187,143.270004
広尾郡広尾町/01642-4601-5.topojson,広尾郡広尾町字ヲリコマナイ,42.284187,143.270004
広尾郡広尾町/01642-4601-5.topojson,広尾郡広尾町字カシュウンナイ,42.389702,143.231247
広尾郡広尾町/01642-4601-5.topojson,広尾郡広尾町字タンネソ,42.182991,143.33049
広尾郡広尾町/01642-4601-5.topojson,広尾郡広尾町字ビタタヌンケ,42.161613,143.323807
広尾郡広尾町/01642-4601-5.topojson,広尾郡広尾町字モエケシ,42.206661,143.323563
広尾郡広尾町/01642-4601-5.topojson,広尾郡広尾町字楽古,42.285931,143.31163
