ファイル名,地番区域,緯度,経度
恵庭市/01231-4309-12.topojson,恵庭市春日,42.923611,141.629166
恵庭市/01231-4309-13.topojson,恵庭市中央,42.909641,141.623627
恵庭市/01231-4309-13.topojson,恵庭市,42.882584,141.577774
恵庭市/01231-4309-22.topojson,恵庭市盤尻,42.844498,141.416138
恵庭市/01231-4309-58.topojson,恵庭市島松寿町１丁目,42.920628,141.570816
恵庭市/01231-4309-59.topojson,恵庭市白樺町１丁目,42.866261,141.567139
恵庭市/01231-4309-60.topojson,恵庭市戸磯,42.875412,141.605515
恵庭市/01231-4309-60.topojson,恵庭市和光町４丁目,42.873821,141.594772
恵庭市/01231-4309-61.topojson,恵庭市島松旭町１丁目,42.922932,141.581635
恵庭市/01231-4309-61.topojson,恵庭市島松東町２丁目,42.918503,141.58046
恵庭市/01231-4309-61.topojson,恵庭市下島松,42.940762,141.581802
恵庭市/01231-4309-61.topojson,恵庭市島松東町１丁目,42.92025,141.580505
恵庭市/01231-4309-61.topojson,恵庭市島松本町３丁目,42.925194,141.576935
恵庭市/01231-4309-61.topojson,恵庭市島松旭町４丁目,42.921497,141.582718
恵庭市/01231-4309-61.topojson,恵庭市島松旭町３丁目,42.922878,141.585495
恵庭市/01231-4309-61.topojson,恵庭市島松旭町２丁目,42.924622,141.583603
恵庭市/01231-4309-61.topojson,恵庭市島松東町４丁目,42.915207,141.5755
恵庭市/01231-4309-61.topojson,恵庭市島松東町３丁目,42.917908,141.57782
恵庭市/01231-4309-61.topojson,恵庭市島松本町４丁目,42.926624,141.578079
恵庭市/01231-4309-61.topojson,恵庭市島松本町２丁目,42.923584,141.57608
