ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,242,,
01545-4603-1.zip,202602101215,斜里郡斜里町字富士,152-1,,
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,水-43,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238872,,
01545-4603-1.zip,202602101215,斜里郡斜里町字富士,水-33,,
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,244,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238875,,
01545-4603-1.zip,202602101215,斜里郡斜里町字以久科北,2-4,,
01545-4603-1.zip,202602101215,斜里郡斜里町字以久科北,長狭物不明-20,,
01545-4603-1.zip,202602101215,斜里郡斜里町字以久科北,2-3,,
01545-4603-1.zip,202602101215,斜里郡斜里町字以久科北,2-2,,
01545-4603-1.zip,202602101215,斜里郡斜里町字以久科北,2-1,,
01545-4603-1.zip,202602101215,斜里郡斜里町字以久科北,長狭物不明-21,,
01545-4603-1.zip,202602101215,斜里郡斜里町字以久科北,1-2,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238883,,
01545-4603-1.zip,202602101215,斜里郡斜里町字以久科北,1-1,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238885,,
01545-4603-1.zip,202602101215,斜里郡斜里町字朱円西,2,,
01545-4603-1.zip,202602101215,斜里郡斜里町字朱円西,長狭物不明-14,,
01545-4603-1.zip,202602101215,斜里郡斜里町字朱円西,1,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238889,,
01545-4603-1.zip,202602101215,斜里郡斜里町字峰浜,84,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238891,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238892,,
01545-4603-1.zip,202602101215,斜里郡斜里町字富士,152-4,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238894,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238895,,
01545-4603-1.zip,202602101215,斜里郡斜里町字富士,152-3,,
01545-4603-1.zip,202602101215,斜里郡斜里町字富士,152-2,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238898,,
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,長狭物不明-134,,
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,245-7,,
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,長狭物不明-135,,
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,245-3V1,,
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,245-3V2,,
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,245-5,,
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,245-6,,
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,245-8,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238907,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238908,,
01545-4603-1.zip,202602101215,斜里郡斜里町字富士,153,,
01545-4603-1.zip,202602101215,斜里郡斜里町字越川,243,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238911,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238912,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238913,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238914,,
01545-4603-1.zip,202602101215,斜里郡斜里町,地区外-3238915,,
01545-4603-1.zip,202602101215,斜里郡斜里町字富士,151-1,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243855,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243856,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,240,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243858,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,234,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243860,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,230,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243862,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,229,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243864,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,243-1,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243866,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243867,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,242,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,241,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,239,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,245,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243872,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,244,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243874,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,236,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,227,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,237,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243878,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,222,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,221,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,225-1,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243882,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,225-2,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,224,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,223,,
01545-4603-2.zip,202602101215,斜里郡斜里町,地区外-3243886,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,218,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,214,,
01545-4603-2.zip,202602101215,斜里郡斜里町字豊倉,213,,
