ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01546-4603-1.zip,202602101215,斜里郡清里町水元町,18-53,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,18-52,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,道-1,,
01546-4603-1.zip,202602101215,斜里郡清里町,地区外-3154709,,
01546-4603-1.zip,202602101215,斜里郡清里町,地区外-3154710,,
01546-4603-1.zip,202602101215,斜里郡清里町,地区外-3154711,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,長狭物不明-1,,
01546-4603-1.zip,202602101215,斜里郡清里町,地区外-3154713,,
01546-4603-1.zip,202602101215,斜里郡清里町,地区外-3154714,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,14-9,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,道-2,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,26-86,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,28-2,,
01546-4603-1.zip,202602101215,斜里郡清里町,地区外-3154720,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,52-3,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,40-1,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,1-15,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,45,,
01546-4603-1.zip,202602101215,斜里郡清里町,地区外-3154725,,
01546-4603-1.zip,202602101215,斜里郡清里町,地区外-3154726,,
01546-4603-1.zip,202602101215,斜里郡清里町,地区外-3154727,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,40-5,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,40-3,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,39-7,,
01546-4603-1.zip,202602101215,斜里郡清里町,地区外-3154736,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,39-17,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,39-15,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,39-19,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,39-16,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,39-18,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,35-10,,
01546-4603-1.zip,202602101215,斜里郡清里町,地区外-3154748,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,39-2,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,39-6,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,39-4,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,39-3,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,33-1,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,38-9,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,38-3,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,38-7,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,38-5,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,38-4,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,20-21,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,37-2,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,36-3,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,36-20,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,36-6,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,35-3,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,35-11,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,34-128,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,35-6,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,35-8,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,35-2,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,34-150,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,34-7,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,34-87,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,34-100,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,34-99,,
01546-4603-1.zip,202602101215,斜里郡清里町水元町,34-122,,
