ファイル名,地番区域,緯度,経度
旭川市/01204-4500-1.topojson,旭川市旭岡１丁目,43.792545,142.310516
旭川市/01204-4500-1.topojson,旭川市旭岡２丁目,43.793865,142.312439
旭川市/01204-4500-1.topojson,旭川市旭岡３丁目,43.795399,142.317642
旭川市/01204-4500-2.topojson,旭川市旭岡４丁目,43.797184,142.320236
旭川市/01204-4500-2.topojson,旭川市旭岡５丁目,43.798035,142.323517
旭川市/01204-4500-2.topojson,旭川市旭岡６丁目,43.79929,142.325348
旭川市/01204-4500-5.topojson,旭川市永山町１０丁目,43.798752,142.453171
旭川市/01204-4500-5.topojson,旭川市永山町１１丁目,43.802666,142.45668
旭川市/01204-4500-5.topojson,旭川市永山町１２丁目,43.805305,142.461304
旭川市/01204-4500-5.topojson,旭川市永山町１３丁目,43.81551,142.45694
旭川市/01204-4500-5.topojson,旭川市,43.771435,142.365295
旭川市/01204-4500-9.topojson,旭川市花咲町１丁目,43.785713,142.367996
旭川市/01204-4500-9.topojson,旭川市花咲町２丁目,43.787525,142.371033
旭川市/01204-4500-9.topojson,旭川市花咲町３丁目,43.789265,142.371521
旭川市/01204-4500-9.topojson,旭川市花咲町４丁目,43.790276,142.373108
旭川市/01204-4500-9.topojson,旭川市花咲町５丁目,43.792534,142.375748
旭川市/01204-4500-9.topojson,旭川市花咲町６丁目,43.795738,142.380173
旭川市/01204-4500-9.topojson,旭川市花咲町７丁目,43.797794,142.383881
旭川市/01204-4500-10.topojson,旭川市江丹別町中央,43.894253,142.236557
旭川市/01204-4500-12.topojson,旭川市江丹別町春日,43.762878,142.240845
旭川市/01204-4500-13.topojson,旭川市江丹別町清水,43.872021,142.233932
旭川市/01204-4500-13.topojson,旭川市江丹別町西里,43.893398,142.189163
旭川市/01204-4500-17.topojson,旭川市江丹別町拓北,43.931564,142.211655
旭川市/01204-4500-21.topojson,旭川市江丹別町富原,43.927895,142.259506
旭川市/01204-4500-22.topojson,旭川市江丹別町共和,43.832867,142.253693
旭川市/01204-4500-22.topojson,旭川市江丹別町中園,43.859188,142.258224
旭川市/01204-4500-27.topojson,旭川市江丹別町芳野,43.888649,142.263596
旭川市/01204-4500-34.topojson,旭川市江丹別町嵐山,43.798115,142.27063
旭川市/01204-4500-48.topojson,旭川市字近文六線一号,43.804932,142.344055
旭川市/01204-4500-48.topojson,旭川市字近文六線二号,43.804932,142.344055
旭川市/01204-4500-48.topojson,旭川市字近文六線三号,43.804932,142.344055
旭川市/01204-4500-48.topojson,旭川市字近文六線四号,43.804932,142.344055
