ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01575-4302-1.zip,202602100957,有珠郡壮瞥町字幸内,52-3,,
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-1
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-2
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-3
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-4
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-5
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-6
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-7
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-8
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-9
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-10
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-11
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-12
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-13
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-14
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-15
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-16
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-17
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-18
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-19
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-20
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-21
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-22
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-23
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-24
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-25
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-26
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-27
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-28
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-29
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-30
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-31
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-32
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-33
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-34
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-35
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-36
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-37
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-38
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-39
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-40
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-41
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-42
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-43
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-44
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-45
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-46
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-47
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-48
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-49
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-50
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-51
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-52
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-53
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-54
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-1,有珠郡壮瞥町字蟠渓,70-55
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-1
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-2
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-3
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-4
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-5
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-6
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-7
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-8
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-9
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-10
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-11
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-12
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-13
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-14
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-15
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-16
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-17
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-18
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-19
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-20
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-21
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-22
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-23
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-24
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-25
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-26
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-27
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-28
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-29
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-30
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-31
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-32
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-33
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-34
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-35
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-36
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-37
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-38
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-39
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-40
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-41
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-42
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-43
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-44
01575-4302-1.zip,202602100957,有珠郡壮瞥町字蟠渓,筆界未定地-2,有珠郡壮瞥町字蟠渓,71-45
