ファイル名,地番区域,緯度,経度
札幌市手稲区/01109-4313-4.topojson,札幌市手稲区前田五条１４丁目,43.129028,141.245789
札幌市手稲区/01109-4313-4.topojson,札幌市手稲区前田五条１５丁目,43.130745,141.243561
札幌市手稲区/01109-4313-4.topojson,札幌市手稲区前田六条１４丁目,43.130775,141.247726
札幌市手稲区/01109-4313-4.topojson,札幌市手稲区前田六条１５丁目,43.132221,141.245529
札幌市手稲区/01109-4313-4.topojson,札幌市手稲区前田六条１６丁目,43.134087,141.242935
札幌市手稲区/01109-4313-4.topojson,札幌市手稲区,43.121876,141.245789
札幌市手稲区/01109-4313-5.topojson,札幌市手稲区前田一条９丁目,43.117764,141.249771
札幌市手稲区/01109-4313-5.topojson,札幌市手稲区前田二条８丁目,43.117962,141.253586
札幌市手稲区/01109-4313-5.topojson,札幌市手稲区前田二条９丁目,43.119003,141.251587
札幌市手稲区/01109-4313-5.topojson,札幌市手稲区前田三条９丁目,43.120056,141.253128
札幌市手稲区/01109-4313-5.topojson,札幌市手稲区前田四条８丁目,43.120483,141.255737
札幌市手稲区/01109-4313-5.topojson,札幌市手稲区前田一条８丁目,43.116432,141.251846
札幌市手稲区/01109-4313-5.topojson,札幌市手稲区前田三条８丁目,43.119095,141.254578
札幌市手稲区/01109-4313-10.topojson,札幌市手稲区手稲前田,43.144535,141.25769
札幌市手稲区/01109-4313-10.topojson,札幌市手稲区前田十一条１０丁目,43.133213,141.265579
札幌市手稲区/01109-4313-10.topojson,札幌市手稲区前田十二条１０丁目,43.13409,141.268127
札幌市手稲区/01109-4313-21.topojson,札幌市手稲区富丘二条２丁目,43.101101,141.253754
札幌市手稲区/01109-4313-21.topojson,札幌市手稲区西宮の沢四条３丁目,43.099773,141.258224
札幌市手稲区/01109-4313-21.topojson,札幌市手稲区西宮の沢四条４丁目,43.102131,141.257065
札幌市手稲区/01109-4313-21.topojson,札幌市手稲区西宮の沢五条１丁目,43.093609,141.260223
札幌市手稲区/01109-4313-21.topojson,札幌市手稲区西宮の沢五条２丁目,43.096073,141.257584
札幌市手稲区/01109-4313-21.topojson,札幌市手稲区西宮の沢六条１丁目,43.090328,141.256516
札幌市手稲区/01109-4313-21.topojson,札幌市手稲区西宮の沢六条２丁目,43.09264,141.256424
札幌市手稲区/01109-4313-21.topojson,札幌市手稲区富丘三条１丁目,43.097687,141.253906
札幌市手稲区/01109-4313-24.topojson,札幌市手稲区西宮の沢二条４丁目,43.104816,141.259842
札幌市手稲区/01109-4313-24.topojson,札幌市手稲区西宮の沢四条５丁目,43.105484,141.25679
札幌市手稲区/01109-4313-24.topojson,札幌市手稲区西宮の沢二条５丁目,43.107033,141.257721
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区曙二条１丁目,43.126896,141.240082
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区曙二条２丁目,43.127392,141.2379
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区曙二条３丁目,43.126884,141.233551
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区曙三条１丁目,43.129471,141.240189
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区曙三条２丁目,43.12933,141.237274
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区曙三条３丁目,43.129433,141.232986
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区曙四条１丁目,43.131355,141.240128
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区曙四条２丁目,43.131229,141.237198
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区曙四条３丁目,43.131012,141.233185
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区前田四条１３丁目,43.126404,141.245834
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区前田四条１４丁目,43.127735,141.243713
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区前田四条１５丁目,43.129417,141.242752
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区前田八条１９丁目,43.140968,141.242325
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区前田九条１９丁目,43.142849,141.243637
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区前田十条１８丁目,43.143234,141.247803
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区前田十条１９丁目,43.144478,141.2444
札幌市手稲区/01109-4313-28.topojson,札幌市手稲区前田十条２０丁目,43.147038,141.242676
札幌市手稲区/01109-4313-29.topojson,札幌市手稲区手稲星置,43.136887,141.189972
札幌市手稲区/01109-4313-29.topojson,札幌市手稲区星置一条４丁目,43.133549,141.20842
札幌市手稲区/01109-4313-29.topojson,札幌市手稲区星置一条５丁目,43.133514,141.205505
札幌市手稲区/01109-4313-29.topojson,札幌市手稲区星置二条５丁目,43.136509,141.205322
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町一条１丁目,43.116909,141.246353
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町一条２丁目,43.117725,141.245178
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町一条３丁目,43.119026,141.244324
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町一条４丁目,43.120457,141.242783
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町二条１丁目,43.115791,141.244873
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町二条２丁目,43.116947,141.243073
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町二条３丁目,43.118263,141.241669
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町二条４丁目,43.12011,141.240738
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町三条１丁目,43.114613,141.242966
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町三条２丁目,43.115635,141.24147
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町三条３丁目,43.117474,141.239853
札幌市手稲区/01109-4313-31.topojson,札幌市手稲区手稲本町三条４丁目,43.119808,141.236237
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区曙一条１丁目,43.12368,141.24025
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区曙一条２丁目,43.124733,141.236633
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区曙一条３丁目,43.127991,141.225815
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区曙二条４丁目,43.129917,141.227386
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区曙二条５丁目,43.131664,141.221985
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂一条１丁目,43.123692,141.233459
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂一条７丁目,43.131367,141.214462
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂一条８丁目,43.131561,141.206619
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂二条１丁目,43.121845,141.23381
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂二条７丁目,43.129623,141.213486
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂二条８丁目,43.130714,141.210373
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂四条２丁目,43.118851,141.228622
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂四条３丁目,43.119865,141.224899
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂四条４丁目,43.121269,141.221786
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂四条５丁目,43.122787,141.218262
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂四条６丁目,43.124638,141.215118
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂四条７丁目,43.125893,141.211395
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂五条２丁目,43.117302,141.226944
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂五条３丁目,43.117794,141.223358
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂五条４丁目,43.119583,141.220581
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂五条５丁目,43.120983,141.217804
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂五条６丁目,43.12278,141.213638
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区稲穂五条７丁目,43.123878,141.21109
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲稲穂,43.122868,141.210724
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲金山,43.099857,141.18718
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲富丘,43.0947,141.248581
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲本町,43.104317,141.217529
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲本町二条５丁目,43.121716,141.238556
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲本町四条２丁目,43.114922,141.239456
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲本町四条３丁目,43.11673,141.238266
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲本町四条４丁目,43.118504,141.23526
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲本町五条１丁目,43.112244,141.239792
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲本町五条２丁目,43.114155,141.237823
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲本町五条３丁目,43.116146,141.235931
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲本町五条４丁目,43.117134,141.233475
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲本町六条３丁目,43.114353,141.234222
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区手稲本町六条４丁目,43.116367,141.230148
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘一条３丁目,43.10902,141.25737
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘二条３丁目,43.105572,141.25412
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘三条２丁目,43.100952,141.252029
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘三条３丁目,43.103767,141.250854
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘四条１丁目,43.097263,141.251907
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘四条２丁目,43.100586,141.250473
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘四条３丁目,43.103146,141.249313
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘五条２丁目,43.100094,141.248947
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘五条３丁目,43.102123,141.248138
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘五条５丁目,43.108097,141.242874
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘五条６丁目,43.109962,141.242203
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘五条７丁目,43.11095,141.240982
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘六条２丁目,43.099846,141.247421
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘六条３丁目,43.1021,141.244858
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘六条４丁目,43.105152,141.241501
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘六条７丁目,43.109383,141.238647
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区星置一条１丁目,43.133469,141.216492
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区前田一条１０丁目,43.119141,141.24765
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区前田一条１１丁目,43.120945,141.244949
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区前田一条１２丁目,43.122543,141.243469
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区前田二条１０丁目,43.120678,141.249481
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区前田二条１３丁目,43.125771,141.243225
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区金山一条３丁目,43.129757,141.202972
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区金山一条４丁目,43.129761,141.199921
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区金山二条１丁目,43.125973,141.208221
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区金山二条２丁目,43.126488,141.205475
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区金山二条４丁目,43.127308,141.200211
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区金山三条１丁目,43.124214,141.208084
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区金山三条２丁目,43.124043,141.204346
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区金山三条３丁目,43.124107,141.202103
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区星置南１丁目,43.130398,141.197998
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区星置南２丁目,43.128391,141.198181
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区星置南３丁目,43.132217,141.196487
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区星置南４丁目,43.132729,141.192581
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区富丘五条４丁目,43.104328,141.245407
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区前田二条１１丁目,43.122742,141.247635
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区前田三条１０丁目,43.121506,141.251678
札幌市手稲区/01109-4313-36.topojson,札幌市手稲区前田二条１２丁目,43.124241,141.245316
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒五条７丁目,43.118732,141.269104
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒五条８丁目,43.119408,141.267502
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒五条９丁目,43.121403,141.266693
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒六条７丁目,43.120617,141.272064
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒六条１０丁目,43.125172,141.267334
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒七条１０丁目,43.126724,141.27005
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒六条３丁目,43.116325,141.278519
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒六条２丁目,43.115402,141.279861
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒七条３丁目,43.118591,141.281342
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒六条８丁目,43.121944,141.270905
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒六条９丁目,43.123283,141.269241
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒七条１丁目,43.116451,141.283997
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒七条２丁目,43.117241,141.282349
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒七条４丁目,43.11948,141.2798
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒七条５丁目,43.120697,141.278656
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒七条６丁目,43.121517,141.276566
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒七条７丁目,43.122757,141.275192
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒七条８丁目,43.123714,141.273514
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒七条９丁目,43.125267,141.271988
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒七条１１丁目,43.128899,141.267685
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒六条４丁目,43.117413,141.277206
札幌市手稲区/01109-4313-46.topojson,札幌市手稲区新発寒六条１丁目,43.114216,141.281464
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙五条１丁目,43.133701,141.240479
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙五条２丁目,43.13361,141.237564
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙五条３丁目,43.133575,141.233505
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙五条４丁目,43.134705,141.229263
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙六条１丁目,43.136166,141.240112
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙六条２丁目,43.136093,141.237167
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙六条３丁目,43.136112,141.23378
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙七条１丁目,43.138447,141.240021
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙七条２丁目,43.139355,141.236862
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙七条３丁目,43.137955,141.234116
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙八条１丁目,43.141117,141.239914
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙八条２丁目,43.14072,141.237503
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙九条１丁目,43.143864,141.239777
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙九条２丁目,43.143242,141.236847
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙十条１丁目,43.145554,141.239502
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙十条２丁目,43.144291,141.236679
札幌市手稲区/01109-4313-53.topojson,札幌市手稲区曙十一条１丁目,43.14764,141.239319
