ファイル名,地番区域,緯度,経度
札幌市東区/01103-4306-11.topojson,札幌市東区北二十五条東１２丁目,43.095036,141.365753
札幌市東区/01103-4306-11.topojson,札幌市東区北二十五条東１０丁目,43.094833,141.364212
札幌市東区/01103-4306-11.topojson,札幌市東区北二十条東９丁目,43.087681,141.364441
札幌市東区/01103-4306-11.topojson,札幌市東区北二十一条東８丁目,43.088917,141.362518
札幌市東区/01103-4306-11.topojson,札幌市東区北二十三条東８丁目,43.091885,141.361771
札幌市東区/01103-4306-11.topojson,札幌市東区北二十三条東１０丁目,43.092304,141.364853
札幌市東区/01103-4306-11.topojson,札幌市東区北二十三条東１２丁目,43.092514,141.366394
札幌市東区/01103-4306-11.topojson,札幌市東区北二十五条東９丁目,43.094627,141.362671
札幌市東区/01103-4306-11.topojson,札幌市東区北二十五条東８丁目,43.094425,141.36113
札幌市東区/01103-4306-11.topojson,札幌市東区北二十条東１３丁目,43.088284,141.369049
札幌市東区/01103-4306-11.topojson,札幌市東区北二十一条東１３丁目,43.089748,141.368683
札幌市東区/01103-4306-11.topojson,札幌市東区北二十条東１２丁目,43.088097,141.367508
札幌市東区/01103-4306-11.topojson,札幌市東区北二十一条東１２丁目,43.089539,141.367157
札幌市東区/01103-4306-11.topojson,札幌市東区北二十二条東１２丁目,43.090981,141.366791
札幌市東区/01103-4306-11.topojson,札幌市東区北二十三条東１３丁目,43.092728,141.367935
札幌市東区/01103-4306-11.topojson,札幌市東区北二十四条東１３丁目,43.094101,141.367599
札幌市東区/01103-4306-11.topojson,札幌市東区北二十五条東１３丁目,43.095245,141.36731
札幌市東区/01103-4306-11.topojson,札幌市東区北二十四条東１２丁目,43.093887,141.366043
札幌市東区/01103-4306-11.topojson,札幌市東区北二十条東１０丁目,43.087891,141.365967
札幌市東区/01103-4306-11.topojson,札幌市東区北二十一条東１０丁目,43.089333,141.365616
札幌市東区/01103-4306-11.topojson,札幌市東区北二十二条東１０丁目,43.090767,141.365234
札幌市東区/01103-4306-11.topojson,札幌市東区北二十四条東１０丁目,43.093681,141.364502
札幌市東区/01103-4306-11.topojson,札幌市東区北二十一条東９丁目,43.089127,141.364075
札幌市東区/01103-4306-11.topojson,札幌市東区北二十二条東９丁目,43.090557,141.363708
札幌市東区/01103-4306-11.topojson,札幌市東区北二十三条東９丁目,43.092091,141.363327
札幌市東区/01103-4306-11.topojson,札幌市東区北二十四条東９丁目,43.093472,141.362961
札幌市東区/01103-4306-11.topojson,札幌市東区北二十条東８丁目,43.087471,141.362885
札幌市東区/01103-4306-11.topojson,札幌市東区北二十二条東８丁目,43.090351,141.362152
札幌市東区/01103-4306-11.topojson,札幌市東区北二十四条東８丁目,43.093266,141.36142
札幌市東区/01103-4306-11.topojson,札幌市東区北二十二条東１３丁目,43.091194,141.368332
札幌市東区/01103-4306-12.topojson,札幌市東区北十八条東８丁目,43.084484,141.363632
札幌市東区/01103-4306-12.topojson,札幌市東区北十九条東９丁目,43.086002,141.364868
札幌市東区/01103-4306-12.topojson,札幌市東区北十八条東１２丁目,43.085114,141.368271
札幌市東区/01103-4306-12.topojson,札幌市東区北十九条東８丁目,43.085915,141.363281
札幌市東区/01103-4306-12.topojson,札幌市東区北十九条東１２丁目,43.086472,141.36792
札幌市東区/01103-4306-12.topojson,札幌市東区北十八条東１３丁目,43.085369,141.369904
札幌市東区/01103-4306-12.topojson,札幌市東区北十九条東１３丁目,43.086754,141.369553
札幌市東区/01103-4306-12.topojson,札幌市東区北十八条東１０丁目,43.084927,141.36673
札幌市東区/01103-4306-12.topojson,札幌市東区北十九条東１０丁目,43.086285,141.366379
札幌市東区/01103-4306-12.topojson,札幌市東区北十八条東９丁目,43.084717,141.365189
札幌市東区/01103-4306-13.topojson,札幌市東区北二十三条東１７丁目,43.093563,141.374802
札幌市東区/01103-4306-13.topojson,札幌市東区北十七条東１６丁目,43.084873,141.375
札幌市東区/01103-4306-13.topojson,札幌市東区北十九条東１６丁目,43.087566,141.374313
札幌市東区/01103-4306-13.topojson,札幌市東区北二十条東１６丁目,43.088993,141.373978
札幌市東区/01103-4306-13.topojson,札幌市東区北二十四条東１７丁目,43.094769,141.374542
札幌市東区/01103-4306-13.topojson,札幌市東区北二十四条東１６丁目,43.09465,141.372635
札幌市東区/01103-4306-13.topojson,札幌市東区北二十三条東１５丁目,43.093159,141.371124
札幌市東区/01103-4306-13.topojson,札幌市東区北二十三条東１４丁目,43.092937,141.369476
札幌市東区/01103-4306-13.topojson,札幌市東区北二十四条東１５丁目,43.094501,141.370712
札幌市東区/01103-4306-13.topojson,札幌市東区北二十四条東１４丁目,43.094315,141.369156
札幌市東区/01103-4306-13.topojson,札幌市東区北二十二条東１５丁目,43.091648,141.371384
札幌市東区/01103-4306-13.topojson,札幌市東区北二十一条東１４丁目,43.089958,141.370209
札幌市東区/01103-4306-13.topojson,札幌市東区北二十条東１４丁目,43.088524,141.370529
札幌市東区/01103-4306-13.topojson,札幌市東区北十九条東１５丁目,43.087208,141.372726
札幌市東区/01103-4306-13.topojson,札幌市東区北十九条東１７丁目,43.087959,141.376297
札幌市東区/01103-4306-13.topojson,札幌市東区北十七条東１５丁目,43.084614,141.373093
札幌市東区/01103-4306-13.topojson,札幌市東区北二十三条東１８丁目,43.093861,141.377182
札幌市東区/01103-4306-13.topojson,札幌市東区北二十三条東１６丁目,43.093544,141.372818
札幌市東区/01103-4306-13.topojson,札幌市東区北二十五条東１４丁目,43.095455,141.368866
札幌市東区/01103-4306-13.topojson,札幌市東区北二十五条東１８丁目,43.096439,141.376572
札幌市東区/01103-4306-13.topojson,札幌市東区北二十五条東１７丁目,43.09605,141.374191
札幌市東区/01103-4306-13.topojson,札幌市東区北二十五条東１６丁目,43.095837,141.372375
札幌市東区/01103-4306-13.topojson,札幌市東区北二十五条東１５丁目,43.095581,141.370743
札幌市東区/01103-4306-13.topojson,札幌市東区北二十四条東１８丁目,43.095165,141.376846
札幌市東区/01103-4306-13.topojson,札幌市東区北十八条東１６丁目,43.086094,141.374527
札幌市東区/01103-4306-13.topojson,札幌市東区北十六条東１４丁目,43.083202,141.371811
札幌市東区/01103-4306-13.topojson,札幌市東区北十六条東１３丁目,43.083004,141.370285
札幌市東区/01103-4306-13.topojson,札幌市東区北十七条東１３丁目,43.084122,141.370316
札幌市東区/01103-4306-13.topojson,札幌市東区北十七条東１４丁目,43.084404,141.371521
札幌市東区/01103-4306-13.topojson,札幌市東区北十八条東１５丁目,43.08577,141.372787
札幌市東区/01103-4306-13.topojson,札幌市東区北十八条東１４丁目,43.085609,141.371353
札幌市東区/01103-4306-13.topojson,札幌市東区北十九条東１４丁目,43.087006,141.371323
札幌市東区/01103-4306-13.topojson,札幌市東区北二十条東１７丁目,43.089314,141.375824
札幌市東区/01103-4306-13.topojson,札幌市東区北二十条東１５丁目,43.088726,141.37207
札幌市東区/01103-4306-13.topojson,札幌市東区北二十一条東１８丁目,43.091026,141.377594
札幌市東区/01103-4306-13.topojson,札幌市東区北二十一条東１７丁目,43.090694,141.375473
札幌市東区/01103-4306-13.topojson,札幌市東区北二十一条東１６丁目,43.090439,141.373627
札幌市東区/01103-4306-13.topojson,札幌市東区北二十一条東１５丁目,43.090183,141.371735
札幌市東区/01103-4306-13.topojson,札幌市東区北二十二条東１８丁目,43.0924,141.377304
札幌市東区/01103-4306-13.topojson,札幌市東区北二十二条東１７丁目,43.092133,141.375137
札幌市東区/01103-4306-13.topojson,札幌市東区北二十二条東１６丁目,43.091877,141.373291
札幌市東区/01103-4306-13.topojson,札幌市東区北二十二条東１４丁目,43.091404,141.369843
札幌市東区/01103-4306-14.topojson,札幌市東区栄町,43.119923,141.376785
札幌市東区/01103-4306-15.topojson,札幌市東区北十九条東２０丁目,43.08736,141.3815
札幌市東区/01103-4306-15.topojson,札幌市東区北二十条東１９丁目,43.088955,141.380356
札幌市東区/01103-4306-15.topojson,札幌市東区北二十条東１８丁目,43.08939,141.378036
札幌市東区/01103-4306-15.topojson,札幌市東区北十六条東１５丁目,43.083447,141.373413
札幌市東区/01103-4306-15.topojson,札幌市東区北十五条東１４丁目,43.081993,141.37204
札幌市東区/01103-4306-15.topojson,札幌市東区北十五条東１５丁目,43.082153,141.37355
札幌市東区/01103-4306-15.topojson,札幌市東区北十五条東１６丁目,43.082508,141.375122
札幌市東区/01103-4306-15.topojson,札幌市東区北十六条東１６丁目,43.083618,141.375168
札幌市東区/01103-4306-15.topojson,札幌市東区北十五条東１７丁目,43.082417,141.376343
札幌市東区/01103-4306-15.topojson,札幌市東区北十六条東１７丁目,43.083569,141.376678
札幌市東区/01103-4306-15.topojson,札幌市東区北十七条東１７丁目,43.085033,141.376923
札幌市東区/01103-4306-15.topojson,札幌市東区北十八条東１７丁目,43.086346,141.376511
札幌市東区/01103-4306-15.topojson,札幌市東区北十八条東１８丁目,43.086437,141.377808
札幌市東区/01103-4306-15.topojson,札幌市東区北十八条東１９丁目,43.08617,141.379318
札幌市東区/01103-4306-15.topojson,札幌市東区北十九条東１８丁目,43.087727,141.377869
札幌市東区/01103-4306-15.topojson,札幌市東区北十九条東１９丁目,43.087379,141.379776
札幌市東区/01103-4306-15.topojson,札幌市東区北十六条東１８丁目,43.08408,141.378571
札幌市東区/01103-4306-15.topojson,札幌市東区北十七条東１８丁目,43.085003,141.378891
札幌市東区/01103-4306-15.topojson,札幌市東区北二十一条東１９丁目,43.09071,141.379257
札幌市東区/01103-4306-16.topojson,札幌市東区本町一条３丁目,43.078568,141.384949
札幌市東区/01103-4306-16.topojson,札幌市東区本町一条２丁目,43.079742,141.382599
札幌市東区/01103-4306-16.topojson,札幌市東区北十二条東１５丁目,43.078911,141.375946
札幌市東区/01103-4306-16.topojson,札幌市東区北八条東１６丁目,43.075134,141.378143
札幌市東区/01103-4306-16.topojson,札幌市東区本町二条２丁目,43.08139,141.383926
札幌市東区/01103-4306-16.topojson,札幌市東区北八条東１２丁目,43.07394,141.372665
札幌市東区/01103-4306-16.topojson,札幌市東区北九条東１２丁目,43.074966,141.372223
札幌市東区/01103-4306-16.topojson,札幌市東区北十条東１２丁目,43.07618,141.372574
札幌市東区/01103-4306-16.topojson,札幌市東区北十一条東１２丁目,43.077328,141.372238
札幌市東区/01103-4306-16.topojson,札幌市東区北十一条東１４丁目,43.07753,141.374863
札幌市東区/01103-4306-16.topojson,札幌市東区北九条東１４丁目,43.075417,141.375153
札幌市東区/01103-4306-16.topojson,札幌市東区北九条東１５丁目,43.07563,141.376709
札幌市東区/01103-4306-16.topojson,札幌市東区北七条東１９丁目,43.076237,141.382965
札幌市東区/01103-4306-16.topojson,札幌市東区北七条東２０丁目,43.077362,141.383881
札幌市東区/01103-4306-16.topojson,札幌市東区北八条東１４丁目,43.074432,141.375671
札幌市東区/01103-4306-16.topojson,札幌市東区北八条東１３丁目,43.074078,141.374115
札幌市東区/01103-4306-16.topojson,札幌市東区北九条東１３丁目,43.075249,141.373688
札幌市東区/01103-4306-16.topojson,札幌市東区北十条東１４丁目,43.076443,141.375305
札幌市東区/01103-4306-16.topojson,札幌市東区北十条東１３丁目,43.076385,141.374115
札幌市東区/01103-4306-16.topojson,札幌市東区北十一条東１３丁目,43.077682,141.373352
