ファイル名,地番区域,緯度,経度
札幌市白石区/01104-4316-1.topojson,札幌市白石区本通１０丁目南,43.041565,141.4207
札幌市白石区/01104-4316-1.topojson,札幌市白石区本郷通１０丁目北,43.040245,141.419052
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通１２丁目北,43.03698,141.420258
札幌市白石区/01104-4316-1.topojson,札幌市白石区本郷通１２丁目北,43.038551,141.421906
札幌市白石区/01104-4316-1.topojson,札幌市白石区本郷通１２丁目南,43.037556,141.421066
札幌市白石区/01104-4316-1.topojson,札幌市白石区本郷通１１丁目北,43.03931,141.420563
札幌市白石区/01104-4316-1.topojson,札幌市白石区本郷通１１丁目南,43.038357,141.419586
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通１１丁目北,43.037704,141.41864
札幌市白石区/01104-4316-1.topojson,札幌市白石区本郷通１０丁目南,43.039162,141.418152
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通１０丁目北,43.038334,141.41713
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通９丁目北,43.039276,141.415253
札幌市白石区/01104-4316-1.topojson,札幌市白石区本郷通９丁目北,43.041004,141.417252
札幌市白石区/01104-4316-1.topojson,札幌市白石区本郷通８丁目南,43.041363,141.414261
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通８丁目北,43.040215,141.413406
札幌市白石区/01104-4316-1.topojson,札幌市白石区本郷通７丁目南,43.04211,141.412628
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通７丁目北,43.040997,141.411469
札幌市白石区/01104-4316-1.topojson,札幌市白石区本郷通８丁目北,43.042526,141.415268
札幌市白石区/01104-4316-1.topojson,札幌市白石区本郷通７丁目北,43.043701,141.413498
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通７丁目南,43.039387,141.410187
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通８丁目南,43.038506,141.412094
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通９丁目南,43.037895,141.414627
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通１０丁目南,43.037117,141.416245
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通１２丁目南,43.035927,141.419312
札幌市白石区/01104-4316-1.topojson,札幌市白石区南郷通１１丁目南,43.036514,141.418381
札幌市白石区/01104-4316-1.topojson,札幌市白石区本通１２丁目南,43.039989,141.423401
札幌市白石区/01104-4316-1.topojson,札幌市白石区本通９丁目南,43.042412,141.418488
札幌市白石区/01104-4316-1.topojson,札幌市白石区本通１１丁目南,43.040764,141.422089
札幌市白石区/01104-4316-1.topojson,札幌市白石区本通８丁目南,43.04406,141.417175
札幌市白石区/01104-4316-1.topojson,札幌市白石区本通７丁目南,43.045109,141.414978
