ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,744-6,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,744-7,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,744-9,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,750,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,751-1,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,751-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,751-4,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,751-6,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,752,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,756-4,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,756-7,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,756-8,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,756-9,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,756-11,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,756-12,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,756-13,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,757-4,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,757-11,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,757-12,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,757-13,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,758-1,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,759-1,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,759-3,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,760-3,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,760-4,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,762-6,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,763-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,764-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,766-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,767-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,767-3,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,769-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,771-1,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,771-3,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,773-1,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,773-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,773-3,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,774-1,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,774-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,775-1,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,775-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,776,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,778-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,778-3,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,778-4,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,778-5,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,778-6,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,779-1,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,779-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,779-5,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,780-1,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,780-2,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,780-3,,
01107-4313-1.zip,202602101027,札幌市西区発寒十条１丁目,780-4,,
