ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01513-4501-1.zip,202602101133,枝幸郡中頓別町,1891-54,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,1-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,1-2,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,2,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,3,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,4-4,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,5-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,31,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,32-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,32-3,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,32-4,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,32-5,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,36-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,37-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,38,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,39,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,40,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,41-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,41-2,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,41-3,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,41-4,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,41-5,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,41-6,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,41-7,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,42,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,44-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,44-2,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,45-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,45-2,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,45-3,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,46,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,47-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,67-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,68-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,69-2,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,道-5,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,水-7,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,水-8,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,水-9,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,110-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,110-2,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,110-3,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,110-4,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,110-5,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,110-6,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,110-7,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,110-8,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,111-1,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,113,,
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,筆界未定地-1,枝幸郡中頓別町字弥生,114
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,筆界未定地-1,枝幸郡中頓別町字弥生,水-14
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,筆界未定地-1,枝幸郡中頓別町字弥生,国有地-17
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,筆界未定地-1,枝幸郡中頓別町字弥生,341-1
01513-4501-2.zip,202602101133,枝幸郡中頓別町字弥生,筆界未定地-1,枝幸郡中頓別町字弥生,337
