ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01223-4604-1.zip,202602101229,根室市牧の内,長狭物不明-1,,
01223-4604-1.zip,202602101229,根室市牧の内,127-142,,
01223-4604-1.zip,202602101229,根室市牧の内,235-9,,
01223-4604-1.zip,202602101229,根室市牧の内,142-13,,
01223-4604-1.zip,202602101229,根室市牧の内,170-8,,
01223-4604-1.zip,202602101229,根室市牧の内,170-9,,
01223-4604-1.zip,202602101229,根室市牧の内,127-159,,
01223-4604-1.zip,202602101229,根室市牧の内,127-197,,
01223-4604-1.zip,202602101229,根室市牧の内,299,,
01223-4604-1.zip,202602101229,根室市豊里,6-13,,
01223-4604-1.zip,202602101229,根室市牧の内,142-22,,
01223-4604-1.zip,202602101229,根室市牧の内,127-137,,
01223-4604-1.zip,202602101229,根室市牧の内,127-163,,
01223-4604-1.zip,202602101229,根室市豊里,道-1,,
01223-4604-1.zip,202602101229,根室市豊里,11-2,,
01223-4604-1.zip,202602101229,根室市牧の内,309-1,,
01223-4604-1.zip,202602101229,根室市牧の内,309-3,,
01223-4604-1.zip,202602101229,根室市牧の内,237-2,,
01223-4604-1.zip,202602101229,根室市牧の内,239-7,,
01223-4604-1.zip,202602101229,根室市牧の内,223-4,,
01223-4604-1.zip,202602101229,根室市牧の内,224-6,,
01223-4604-1.zip,202602101229,根室市牧の内,142-26,,
01223-4604-1.zip,202602101229,根室市牧の内,水-1,,
01223-4604-1.zip,202602101229,根室市,地区外-81291,,
01223-4604-1.zip,202602101229,根室市豊里,62-3,,
01223-4604-1.zip,202602101229,根室市豊里,70-1,,
01223-4604-1.zip,202602101229,根室市豊里,70-4,,
01223-4604-1.zip,202602101229,根室市豊里,70-9,,
01223-4604-1.zip,202602101229,根室市豊里,98-10,,
01223-4604-1.zip,202602101229,根室市豊里,68-16,,
01223-4604-1.zip,202602101229,根室市豊里,68-14,,
01223-4604-1.zip,202602101229,根室市豊里,68-15,,
01223-4604-1.zip,202602101229,根室市豊里,70-8,,
01223-4604-1.zip,202602101229,根室市豊里,70-13,,
01223-4604-1.zip,202602101229,根室市豊里,68-25,,
01223-4604-1.zip,202602101229,根室市豊里,68-13,,
01223-4604-1.zip,202602101229,根室市豊里,68-21,,
01223-4604-1.zip,202602101229,根室市豊里,70-10,,
01223-4604-1.zip,202602101229,根室市豊里,70-6,,
01223-4604-1.zip,202602101229,根室市豊里,70-7,,
01223-4604-1.zip,202602101229,根室市豊里,70-12,,
01223-4604-1.zip,202602101229,根室市豊里,70-11,,
01223-4604-1.zip,202602101229,根室市豊里,68-1,,
01223-4604-1.zip,202602101229,根室市豊里,68-18,,
01223-4604-1.zip,202602101229,根室市豊里,68-10,,
01223-4604-1.zip,202602101229,根室市豊里,68-11,,
01223-4604-1.zip,202602101229,根室市豊里,54-2,,
01223-4604-1.zip,202602101229,根室市豊里,54,,
01223-4604-1.zip,202602101229,根室市豊里,62-1,,
01223-4604-1.zip,202602101229,根室市豊里,62-2,,
01223-4604-1.zip,202602101229,根室市豊里,58-2,,
01223-4604-1.zip,202602101229,根室市豊里,68-5,,
01223-4604-1.zip,202602101229,根室市豊里,98-3,,
01223-4604-1.zip,202602101229,根室市豊里,68-7,,
01223-4604-1.zip,202602101229,根室市豊里,68-24,,
