ファイル名,地番区域,緯度,経度
標津郡標津町/01693-4625-1.topojson,標津郡標津町字標津,43.640366,145.098236
標津郡標津町/01693-4625-2.topojson,標津郡標津町字川北,43.692074,144.978592
標津郡標津町/01693-4625-4.topojson,標津郡標津町,43.66127,145.131332
標津郡標津町/01693-4625-5.topojson,標津郡標津町字薫別,43.810009,144.99353
標津郡標津町/01693-4625-7.topojson,標津郡標津町字川北基線東,43.692074,144.978592
標津郡標津町/01693-4625-7.topojson,標津郡標津町字川北南一線東,43.692074,144.978592
標津郡標津町/01693-4625-8.topojson,標津郡標津町字忠類,43.710957,145.078781
標津郡標津町/01693-4625-10.topojson,標津郡標津町字伊茶仁,43.680798,145.104111
標津郡標津町/01693-4625-12.topojson,標津郡標津町字崎無異,43.854359,144.999924
標津郡標津町/01693-4625-13.topojson,標津郡標津町字茶志骨,43.605618,145.124924
