ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,1,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,2,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,3,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,4,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,6,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,7,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,8,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,11,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,13-1,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,13-2,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,13-3,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,14,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,16,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,17-1,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,17-2,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,17-3,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,17-4,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,17-5,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,17-6,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,17-7,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,17-8,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,17-9,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,18-1,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,18-2,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,18-3,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,18-4,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,18-5,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,18-6,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,18-7,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,18-8,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-1,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-2,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-3,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-4,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-5,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-6,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-7,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-8,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-9,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-10,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-11,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-12,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-13,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-14,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-15,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-16,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,19-17,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-1,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-2,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-3,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-4,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-5,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-6,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-7,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-8,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-9,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-10,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-11,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,20-12,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,21-1,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,21-2,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,21-3,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,22-1,,
01363-4401-1.zip,202602101135,檜山郡厚沢部町字峠下,22-3,,
