ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01227-4315-1.zip,202602101030,歌志内市字文珠,202-31,,
01227-4315-1.zip,202602101030,歌志内市字文珠,196-34,,
01227-4315-1.zip,202602101030,歌志内市字文珠,202-6,,
01227-4315-1.zip,202602101030,歌志内市字歌神,89-3,,
01227-4315-1.zip,202602101030,歌志内市字歌神,89-8,,
01227-4315-1.zip,202602101030,歌志内市,地区外-387621,,
01227-4315-1.zip,202602101030,歌志内市,地区外-387624,,
01227-4315-1.zip,202602101030,歌志内市字文珠,69-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,1020,,
01227-4315-1.zip,202602101030,歌志内市字文珠,1006,,
01227-4315-1.zip,202602101030,歌志内市字文珠,67,,
01227-4315-1.zip,202602101030,歌志内市,地区外-387629,,
01227-4315-1.zip,202602101030,歌志内市,地区外-387630,,
01227-4315-1.zip,202602101030,歌志内市字文珠,65-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,64,,
01227-4315-1.zip,202602101030,歌志内市字文珠,65-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,66-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,1019,,
01227-4315-1.zip,202602101030,歌志内市字文珠,69-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,69-3,,
01227-4315-1.zip,202602101030,歌志内市,地区外-387638,,
01227-4315-1.zip,202602101030,歌志内市,地区外-387639,,
01227-4315-1.zip,202602101030,歌志内市字文珠,52-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,52-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,53,,
01227-4315-1.zip,202602101030,歌志内市字文珠,66-2,,
01227-4315-1.zip,202602101030,歌志内市,地区外-387644,,
01227-4315-1.zip,202602101030,歌志内市字文珠,27,,
01227-4315-1.zip,202602101030,歌志内市字文珠,30-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,29-3,,
01227-4315-1.zip,202602101030,歌志内市字文珠,29-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,25-3,,
01227-4315-1.zip,202602101030,歌志内市字文珠,29-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,25-6,,
01227-4315-1.zip,202602101030,歌志内市字文珠,25-5,,
01227-4315-1.zip,202602101030,歌志内市字文珠,25-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,24-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,30-9,,
01227-4315-1.zip,202602101030,歌志内市字文珠,32-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,32-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,32-5,,
01227-4315-1.zip,202602101030,歌志内市字文珠,30-4,,
01227-4315-1.zip,202602101030,歌志内市字文珠,31,,
01227-4315-1.zip,202602101030,歌志内市字文珠,30-5,,
01227-4315-1.zip,202602101030,歌志内市字文珠,30-3,,
01227-4315-1.zip,202602101030,歌志内市字文珠,30-8,,
01227-4315-1.zip,202602101030,歌志内市字文珠,30-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,30-7,,
01227-4315-1.zip,202602101030,歌志内市字文珠,30-6,,
01227-4315-1.zip,202602101030,歌志内市字文珠,34-8,,
01227-4315-1.zip,202602101030,歌志内市字文珠,34-7,,
01227-4315-1.zip,202602101030,歌志内市字文珠,34-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,1017,,
01227-4315-1.zip,202602101030,歌志内市字文珠,33-3,,
01227-4315-1.zip,202602101030,歌志内市字文珠,34-3,,
01227-4315-1.zip,202602101030,歌志内市字文珠,34-4,,
01227-4315-1.zip,202602101030,歌志内市字文珠,34-5,,
01227-4315-1.zip,202602101030,歌志内市字文珠,34-6,,
01227-4315-1.zip,202602101030,歌志内市字文珠,50-3,,
01227-4315-1.zip,202602101030,歌志内市字文珠,50-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,50-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,51-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,51-3,,
01227-4315-1.zip,202602101030,歌志内市字文珠,51-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,12-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,1008,,
01227-4315-1.zip,202602101030,歌志内市字文珠,22,,
01227-4315-1.zip,202602101030,歌志内市字文珠,12-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,20-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,20-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,1011,,
01227-4315-1.zip,202602101030,歌志内市字文珠,1012,,
01227-4315-1.zip,202602101030,歌志内市字文珠,21,,
01227-4315-1.zip,202602101030,歌志内市字文珠,24-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,25-7,,
01227-4315-1.zip,202602101030,歌志内市字文珠,25-4,,
01227-4315-1.zip,202602101030,歌志内市字文珠,28,,
01227-4315-1.zip,202602101030,歌志内市,地区外-387698,,
01227-4315-1.zip,202602101030,歌志内市,地区外-387699,,
01227-4315-1.zip,202602101030,歌志内市字文珠,62-1,,
01227-4315-1.zip,202602101030,歌志内市,地区外-387701,,
01227-4315-1.zip,202602101030,歌志内市字文珠,1018,,
01227-4315-1.zip,202602101030,歌志内市字文珠,54,,
01227-4315-1.zip,202602101030,歌志内市字文珠,42-11,,
01227-4315-1.zip,202602101030,歌志内市字文珠,42-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,42-3,,
01227-4315-1.zip,202602101030,歌志内市字文珠,40-3,,
01227-4315-1.zip,202602101030,歌志内市字文珠,40-2,,
01227-4315-1.zip,202602101030,歌志内市字文珠,40-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,40-6,,
01227-4315-1.zip,202602101030,歌志内市字文珠,40-7,,
01227-4315-1.zip,202602101030,歌志内市字文珠,40-5,,
01227-4315-1.zip,202602101030,歌志内市字文珠,39-4,,
01227-4315-1.zip,202602101030,歌志内市字文珠,33-1,,
01227-4315-1.zip,202602101030,歌志内市字文珠,42-7,,
01227-4315-1.zip,202602101030,歌志内市字文珠,42-8,,
01227-4315-1.zip,202602101030,歌志内市字文珠,42-6,,
01227-4315-1.zip,202602101030,歌志内市字文珠,42-5,,
01227-4315-1.zip,202602101030,歌志内市字文珠,42-4,,
01227-4315-1.zip,202602101030,歌志内市字文珠,42-9,,
01227-4315-1.zip,202602101030,歌志内市字文珠,42-10,,
01227-4315-1.zip,202602101030,歌志内市字文珠,42-19,,
01227-4315-1.zip,202602101030,歌志内市字文珠,35-4,,
01227-4315-1.zip,202602101030,歌志内市字文珠,35-6,,
