ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01217-4308-1.zip,202602101020,江別市緑町東４丁目,筆界未定地-1,江別市緑町東４丁目,9-2
01217-4308-1.zip,202602101020,江別市緑町東４丁目,筆界未定地-1,江別市緑町東４丁目,9-3
01217-4308-1.zip,202602101020,江別市緑町東４丁目,筆界未定地-1,江別市緑町東４丁目,9-4
01217-4308-1.zip,202602101020,江別市緑町東４丁目,筆界未定地-1,江別市緑町東４丁目,9-9
01217-4308-1.zip,202602101020,江別市緑町東４丁目,筆界未定地-1,江別市緑町東４丁目,9-10
01217-4308-1.zip,202602101020,江別市緑町西２丁目,11-4,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,11-3,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,10-3,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,10-2,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,10-1,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,9,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,8,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,7-2,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,7-1,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,6-3,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,6-2,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,6-1,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,4-5,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,4-4,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,4-3,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,4-2,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,4-1,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-21,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-20,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-19,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-18,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-16,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-15,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-14,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-13,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-12,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-11,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-10,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-9,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-8,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-6,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-5,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-4,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-3,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-2,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,3-1,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,2-2,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,2-1,,
01217-4308-1.zip,202602101020,江別市緑町西２丁目,1-3,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,53,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,47,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,45-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,44-4,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,44-3,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,44-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,44-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,43,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,42-3,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,42-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,42-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,36-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,36-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,35-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,35-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,34-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,34-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,33-4,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,33-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,33-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,28,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,27,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,26-4,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,26-3,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,26-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,26-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,25-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,25-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,20-3,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,20-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,20-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,19-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,19-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,18-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,18-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,17-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,17-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,12-3,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,12-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,12-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,11,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,10-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,10-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,9-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,9-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,3-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,3-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,2-2,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,2-1,,
01217-4308-1.zip,202602101020,江別市緑町東２丁目,1,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,124-2,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,124-1,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,123-2,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,123-1,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,122-7,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,122-6,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,122-5,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,122-4,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,122-3,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,122-2,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,122-1,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,121-5,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,121-4,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,121-1,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,120-2,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,120-1,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,119-6,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,119-5,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,119-4,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,119-3,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,119-2,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,119-1,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,118,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,117-3,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,117-2,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,117-1,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,116,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,115,,
01217-4308-1.zip,202602101020,江別市緑町西１丁目,114,,
