ファイル名,地番区域,緯度,経度
江別市/01217-4308-1.topojson,江別市緑町東４丁目,43.121475,141.543991
江別市/01217-4308-1.topojson,江別市緑町西２丁目,43.115181,141.544815
江別市/01217-4308-1.topojson,江別市緑町東２丁目,43.116737,141.546219
江別市/01217-4308-1.topojson,江別市緑町西１丁目,43.113316,141.548843
江別市/01217-4308-1.topojson,江別市緑町東１丁目,43.11483,141.55011
江別市/01217-4308-1.topojson,江別市緑町東３丁目,43.119766,141.54335
江別市/01217-4308-1.topojson,江別市王子,43.118622,141.550858
江別市/01217-4308-1.topojson,江別市緑町西３丁目,43.117085,141.541855
江別市/01217-4308-2.topojson,江別市三条２丁目,43.113689,141.558395
江別市/01217-4308-2.topojson,江別市三条３丁目,43.113174,141.557953
江別市/01217-4308-2.topojson,江別市四条３丁目,43.11364,141.556992
江別市/01217-4308-2.topojson,江別市五条３丁目,43.114075,141.556107
江別市/01217-4308-2.topojson,江別市五条２丁目,43.114582,141.556549
江別市/01217-4308-2.topojson,江別市四条２丁目,43.114147,141.557449
江別市/01217-4308-2.topojson,江別市四条１丁目,43.114887,141.55809
江別市/01217-4308-2.topojson,江別市五条１丁目,43.115334,141.55719
江別市/01217-4308-3.topojson,江別市弥生町,43.10601,141.544434
江別市/01217-4308-4.topojson,江別市錦町,43.101807,141.527954
江別市/01217-4308-5.topojson,江別市幸町,43.098763,141.535553
江別市/01217-4308-6.topojson,江別市高砂町,43.10252,141.539383
江別市/01217-4308-7.topojson,江別市東光町,43.110981,141.56926
江別市/01217-4308-8.topojson,江別市文京台,43.062675,141.490936
江別市/01217-4308-8.topojson,江別市文京台南町,43.06319,141.502274
江別市/01217-4308-9.topojson,江別市工栄町,43.125599,141.518921
江別市/01217-4308-21.topojson,江別市対雁,43.120739,141.532562
江別市/01217-4308-23.topojson,江別市大麻西町,43.063644,141.482971
江別市/01217-4308-25.topojson,江別市一番町,43.108959,141.548492
江別市/01217-4308-41.topojson,江別市あけぼの町,43.101887,141.57756
江別市/01217-4308-41.topojson,江別市朝日町,43.106277,141.573166
江別市/01217-4308-53.topojson,江別市西野幌,43.048496,141.525391
江別市/01217-4308-54.topojson,江別市角山,43.124405,141.479874
江別市/01217-4308-54.topojson,江別市,43.103745,141.53624
江別市/01217-4308-55.topojson,江別市豊幌,43.134697,141.6427
江別市/01217-4308-65.topojson,江別市野幌町,43.093788,141.526871
江別市/01217-4308-65.topojson,江別市野幌松並町,43.086781,141.518387
江別市/01217-4308-65.topojson,江別市野幌末広町,43.09005,141.516037
江別市/01217-4308-66.topojson,江別市向ヶ丘,43.105762,141.533615
江別市/01217-4308-74.topojson,江別市若草町,43.1124,141.542542
江別市/01217-4308-74.topojson,江別市大麻泉町,43.081364,141.51059
江別市/01217-4308-74.topojson,江別市大麻,43.081345,141.479401
江別市/01217-4308-74.topojson,江別市美原,43.143856,141.581665
江別市/01217-4308-74.topojson,江別市江別太,43.099823,141.603348
江別市/01217-4308-74.topojson,江別市大麻中町,43.073444,141.49501
江別市/01217-4308-74.topojson,江別市大麻沢町,43.070164,141.487869
江別市/01217-4308-74.topojson,江別市大麻扇町,43.067448,141.484528
江別市/01217-4308-74.topojson,江別市大麻高町,43.076519,141.503754
江別市/01217-4308-74.topojson,江別市篠津,43.146973,141.52623
江別市/01217-4308-74.topojson,江別市中島,43.148148,141.496613
江別市/01217-4308-74.topojson,江別市元江別,43.115559,141.525116
江別市/01217-4308-74.topojson,江別市東野幌本町,43.08757,141.531586
