ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,188,,
01602-4329-1.zip,202602101046,沙流郡平取町,地区外-334777,,
01602-4329-1.zip,202602101046,沙流郡平取町,地区外-334778,,
01602-4329-1.zip,202602101046,沙流郡平取町,地区外-334779,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,195,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,193,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,194,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,200,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,199,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,192,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,191,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,190,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,189,,
01602-4329-1.zip,202602101046,沙流郡平取町,地区外-334789,,
01602-4329-1.zip,202602101046,沙流郡平取町,地区外-334790,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,197,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,220,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,208,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,203,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,202,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,198,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,201,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,205,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,196,,
01602-4329-1.zip,202602101046,沙流郡平取町,地区外-334800,,
01602-4329-1.zip,202602101046,沙流郡平取町,地区外-334801,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,214,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,209,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,216,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,215,,
01602-4329-1.zip,202602101046,沙流郡平取町,地区外-334802-2,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,206,,
01602-4329-1.zip,202602101046,沙流郡平取町,地区外-334802,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,221,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,204,,
01602-4329-1.zip,202602101046,沙流郡平取町字岩知志,218,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,6-7,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,6-6,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,130-3,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,130-4,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,122-5,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,7-20,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,無地番-1088,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,無地番-1000,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,1-11,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,筆界未定地-1002,沙流郡平取町字岩知志,1-5
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,筆界未定地-1002,沙流郡平取町字岩知志,5-11
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,161-112,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,131-14,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,121-10,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,121-11,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,121-8,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,126-21,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,127-10,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,127-18,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,127-11,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,126-22W1,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,3-4,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,64-6,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,長狭物不明-1347,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,154-9,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,118-15,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,124-15,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,54-18,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,151-17,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,長狭物不明-1348,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,29-5,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,長狭物不明-1349,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,126-4,,
01602-4329-2.zip,202602101046,沙流郡平取町字仁世宇,長狭物不明-1453,,
01602-4329-2.zip,202602101046,沙流郡平取町字仁世宇,39-1,,
01602-4329-2.zip,202602101046,沙流郡平取町字仁世宇,長狭物不明-1454,,
01602-4329-2.zip,202602101046,沙流郡平取町字仁世宇,長狭物不明-1455,,
01602-4329-2.zip,202602101046,沙流郡平取町字仁世宇,長狭物不明-1456,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,筆界未定地-1003,沙流郡平取町字岩知志,84-1
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,筆界未定地-1003,沙流郡平取町字岩知志,84-11
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,筆界未定地-1003,沙流郡平取町字岩知志,84-12
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,筆界未定地-1003,沙流郡平取町字岩知志,84-13
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,150-1,,
01602-4329-2.zip,202602101046,沙流郡平取町振内町,123-6,,
01602-4329-2.zip,202602101046,沙流郡平取町字岩知志,22-6,,
