ファイル名,地番区域,緯度,経度
河東郡音更町/01631-4601-1.topojson,河東郡音更町木野大通東１丁目,42.937813,143.204178
河東郡音更町/01631-4601-1.topojson,河東郡音更町木野東通１丁目,42.938057,143.206558
河東郡音更町/01631-4601-2.topojson,河東郡音更町字下士幌北一線東,42.940613,143.232452
河東郡音更町/01631-4601-2.topojson,河東郡音更町字下士幌北三線東,42.950386,143.232361
河東郡音更町/01631-4601-2.topojson,河東郡音更町字下士幌北二線東,42.94556,143.232803
河東郡音更町/01631-4601-2.topojson,河東郡音更町字下士幌北四線東,42.955383,143.231705
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北１丁目,42.951748,143.267899
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北２丁目,42.950321,143.271149
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北３丁目,42.948643,143.273743
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北４丁目,42.946915,143.276169
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北５丁目,42.94487,143.27861
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北６丁目,42.943863,143.281067
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北７丁目,42.942669,143.283508
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北８丁目,42.939915,143.286209
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北９丁目,42.940315,143.288666
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北１０丁目,42.938969,143.290833
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北１１丁目,42.938709,143.292984
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北１２丁目,42.938438,143.295395
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北１３丁目,42.938438,143.297653
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北１７丁目,42.935558,143.307266
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉北１８丁目,42.936707,143.309189
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南２丁目,42.944855,143.272308
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南３丁目,42.943592,143.274429
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南４丁目,42.942539,143.276764
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南５丁目,42.9412,143.279114
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南６丁目,42.938496,143.281784
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南７丁目,42.936386,143.284348
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南８丁目,42.935162,143.286865
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南１０丁目,42.934303,143.291306
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南１１丁目,42.933861,143.293579
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南１２丁目,42.931961,143.29631
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南１３丁目,42.931541,143.298645
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南１４丁目,42.930389,143.300888
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南１５丁目,42.928741,143.303375
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南１６丁目,42.929146,143.305603
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南１７丁目,42.927021,143.308319
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南１８丁目,42.930172,143.310028
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南１９丁目,42.930744,143.312683
河東郡音更町/01631-4601-2.topojson,河東郡音更町,42.99403,143.19812
河東郡音更町/01631-4601-2.topojson,河東郡音更町十勝川温泉南１丁目,42.945774,143.27002
