ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,252-1,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,252-2,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,252-3,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,252-4,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,252-5,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,252-6,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,252-7,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,252-8,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,252-9,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,252-10,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,252-11,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,254-4,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,254-7,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,254-10,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,254-11,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,254-12,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-20,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-37,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-38,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-39,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-40,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-41,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-42,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-43,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-44,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-45,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-46,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-47,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-48,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-49,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-50,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,256-51,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,258-4,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,258-7,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,258-10,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,260-10,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,262-1,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,262-2,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,264-1,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,264-2,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,264-3,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,264-4,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,264-5,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,264-6,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,264-7,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,266-1,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,266-2,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,266-3,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,268-1,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,268-2,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,268-3,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,270,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,272,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-3,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-4,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-6,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-7,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-8,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-9,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-10,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-11,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-12,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-13,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-14,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-15,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-16,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-17,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-19,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,274-20,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,276-1,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,276-2,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,276-4,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,276-5,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,276-6,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,276-7,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,276-8,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,276-9,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,276-10,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,282,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,284-1,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,284-2,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,286-2,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,286-3,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,286-4,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,道-57,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,道-58,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,道-60,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,道-105,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,道-108,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,水-7,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,長狭物不明-21,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,長狭物不明-30,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,長狭物不明-31,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,長狭物不明-54,,
01638-4601-1.zip,202602101156,河西郡中札内村常盤基線,長狭物不明-55,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-1,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-2,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-3,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-4,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-5,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-6,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-7,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-8,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-9,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-10,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-11,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-12,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,288-13,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,290,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,292-1,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,292-3,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,292-4,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,292-5,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,292-6,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,292-7,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,292-8,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,292-9,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,292-10,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,294-1,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,294-3,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,294-4,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,294-5,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,294-6,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,294-7,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,294-8,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,294-9,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,294-10,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,294-11,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,294-12,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,296-1,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,296-2,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-1,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-3,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-4,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-5,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-6,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-7,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-8,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-9,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-10,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-11,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-12,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,298-13,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,300-1,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,300-3,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,304-2,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,道-40,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,道-42,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,道-43,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,長狭物不明-18,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,長狭物不明-19,,
01638-4601-1.zip,202602101156,河西郡中札内村元札内基線,長狭物不明-20,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,267-2,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,268-1,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,268-2,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,268-3,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,268-4,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,268-5,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,268-6,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,268-7,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,268-8,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,268-9,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,268-10,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,269-1,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,269-2,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,269-3,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,269-4,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,269-5,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,269-6,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,269-7,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,269-8,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,270-2,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,270-3,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,270-4,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,270-5,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-2,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-5,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-7,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-9,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-12,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-13,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-14,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-15,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-16,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-19,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-20,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-24,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-25,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-26,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-27,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-28,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-29,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-30,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-31,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-32,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-33,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-34,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-35,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,271-36,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-2,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-3,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-4,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-5,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-6,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-7,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-8,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-9,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-10,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-11,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-12,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-13,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-14,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-15,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-16,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-17,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,272-18,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,273-1,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,273-2,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,273-3,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,273-4,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,273-5,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,273-6,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,273-7,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,273-8,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,273-9,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,273-10,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,273-11,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,274-1,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,274-2,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,274-3,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,274-4,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,274-5,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,274-6,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,274-7,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,274-8,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,274-9,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-1,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-2,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-3,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-4,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-5,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-6,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-7,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-8,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-9,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-10,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-11,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-12,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-13,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-14,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-15,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-16,,
01638-4601-1.zip,202602101156,河西郡中札内村栄東一線,275-17,,
