ファイル名,地番区域,緯度,経度
深川市/01228-4500-45.topojson,深川市九条,43.718552,142.057892
深川市/01228-4500-46.topojson,深川市一已町字一已,43.742813,142.027084
深川市/01228-4500-46.topojson,深川市,43.723644,142.053802
深川市/01228-4500-48.topojson,深川市音江町字国見,43.678169,142.100189
深川市/01228-4500-48.topojson,深川市音江町字吉住,43.678169,142.100189
深川市/01228-4500-48.topojson,深川市音江町字菊丘,43.678169,142.100189
深川市/01228-4500-49.topojson,深川市音江町字稲田,43.678169,142.100189
深川市/01228-4500-49.topojson,深川市音江町字内園,43.678169,142.100189
深川市/01228-4500-49.topojson,深川市音江町字向陽,43.678169,142.100189
深川市/01228-4500-53.topojson,深川市緑町,43.710342,142.035324
深川市/01228-4500-53.topojson,深川市八条,43.717026,142.048721
深川市/01228-4500-54.topojson,深川市深川町字オーホ,43.704987,141.996429
深川市/01228-4500-54.topojson,深川市深川町字メム,43.716217,142.020309
深川市/01228-4500-57.topojson,深川市納内町字納内,43.749916,142.149292
深川市/01228-4500-57.topojson,深川市納内町３丁目,43.725918,142.133469
深川市/01228-4500-57.topojson,深川市納内町２丁目,43.725361,142.130371
