ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01225-4315-1.zip,202602101030,滝川市,地区外-222596,,
01225-4315-1.zip,202602101030,滝川市,地区外-222597,,
01225-4315-1.zip,202602101030,滝川市江部乙町,2007,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1210-19,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1210-16,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1211-3,,
01225-4315-1.zip,202602101030,滝川市,地区外-222607,,
01225-4315-1.zip,202602101030,滝川市,地区外-222608,,
01225-4315-1.zip,202602101030,滝川市,地区外-222609,,
01225-4315-1.zip,202602101030,滝川市,地区外-222610,,
01225-4315-1.zip,202602101030,滝川市,地区外-222611,,
01225-4315-1.zip,202602101030,滝川市,地区外-222612,,
01225-4315-1.zip,202602101030,滝川市,地区外-222613,,
01225-4315-1.zip,202602101030,滝川市,地区外-222614,,
01225-4315-1.zip,202602101030,滝川市,地区外-222615,,
01225-4315-1.zip,202602101030,滝川市,地区外-222616,,
01225-4315-1.zip,202602101030,滝川市,地区外-222617,,
01225-4315-1.zip,202602101030,滝川市,地区外-222618,,
01225-4315-1.zip,202602101030,滝川市,地区外-222624,,
01225-4315-1.zip,202602101030,滝川市,地区外-222625,,
01225-4315-1.zip,202602101030,滝川市,地区外-222626,,
01225-4315-1.zip,202602101030,滝川市江部乙町,長狭物不明-2,,
01225-4315-1.zip,202602101030,滝川市,地区外-222628,,
01225-4315-1.zip,202602101030,滝川市,地区外-222629,,
01225-4315-1.zip,202602101030,滝川市,地区外-222630,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1728-4,,
01225-4315-1.zip,202602101030,滝川市江部乙町,2141-2,,
01225-4315-1.zip,202602101030,滝川市江部乙町,2141-1,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1356-1,,
01225-4315-1.zip,202602101030,滝川市江部乙町,2140-1,,
01225-4315-1.zip,202602101030,滝川市江部乙町,2140-2,,
01225-4315-1.zip,202602101030,滝川市江部乙町,2140-4,,
01225-4315-1.zip,202602101030,滝川市江部乙町,2140-5,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1352-3,,
01225-4315-1.zip,202602101030,滝川市,地区外-222642,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1725-2,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1725-7,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1726-12,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1726-11,,
01225-4315-1.zip,202602101030,滝川市,地区外-222647,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1725-6,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1726-8,,
01225-4315-1.zip,202602101030,滝川市,地区外-222651,,
01225-4315-1.zip,202602101030,滝川市,地区外-222652,,
01225-4315-1.zip,202602101030,滝川市江部乙町,2019-15,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1725-11,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1725-8,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1725-10,,
01225-4315-1.zip,202602101030,滝川市江部乙町,4012-5,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1728-7,,
01225-4315-1.zip,202602101030,滝川市江部乙町,4012-2,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1728-3,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1728-2,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1728-6,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1728-5,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1728-1,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1728-8,,
01225-4315-1.zip,202602101030,滝川市江部乙町,2140-3,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-86,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-84,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-85,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-83,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-61,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-16,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-98,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-17,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-96,,
01225-4315-1.zip,202602101030,滝川市,地区外-222692,,
01225-4315-1.zip,202602101030,滝川市,地区外-222693,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1745-5,,
01225-4315-1.zip,202602101030,滝川市,地区外-222695,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1724-4,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1823-10,,
01225-4315-1.zip,202602101030,滝川市,地区外-222698,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1823-3,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1721-2,,
01225-4315-1.zip,202602101030,滝川市,地区外-222701,,
01225-4315-1.zip,202602101030,滝川市,地区外-222702,,
01225-4315-1.zip,202602101030,滝川市,地区外-222703,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-51,,
01225-4315-1.zip,202602101030,滝川市,地区外-222705,,
01225-4315-1.zip,202602101030,滝川市,地区外-222707,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-65,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-95,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-64,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-97,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-99,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-62,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-63,,
01225-4315-1.zip,202602101030,滝川市,地区外-222720,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1825-92,,
01225-4315-1.zip,202602101030,滝川市,地区外-222722,,
01225-4315-1.zip,202602101030,滝川市,地区外-222723,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1719-2,,
01225-4315-1.zip,202602101030,滝川市,地区外-222725,,
01225-4315-1.zip,202602101030,滝川市,地区外-222726,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1717-3,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1717-5,,
01225-4315-1.zip,202602101030,滝川市,地区外-222732,,
01225-4315-1.zip,202602101030,滝川市,地区外-222733,,
01225-4315-1.zip,202602101030,滝川市,地区外-222737,,
01225-4315-1.zip,202602101030,滝川市,地区外-222738,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1609,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1614-1,,
01225-4315-1.zip,202602101030,滝川市江部乙町,4015-3,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1356-4,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1356-6,,
01225-4315-1.zip,202602101030,滝川市江部乙町,1614-2,,
01225-4315-1.zip,202602101030,滝川市江部乙町,4015-5,,
01225-4315-1.zip,202602101030,滝川市江部乙町,4015-4,,
01225-4315-1.zip,202602101030,滝川市江部乙町,4015-1,,
01225-4315-1.zip,202602101030,滝川市江部乙町,4012-1,,
