ファイル名,地番区域,緯度,経度
滝川市/01225-4315-16.topojson,滝川市東滝川,43.579884,141.975311
滝川市/01225-4315-17.topojson,滝川市江部乙町,43.636463,141.96788
滝川市/01225-4315-17.topojson,滝川市北滝の川,43.59285,141.944992
滝川市/01225-4315-17.topojson,滝川市,43.557777,141.91037
滝川市/01225-4315-22.topojson,滝川市江部乙町西１２丁目,43.627792,141.938828
滝川市/01225-4315-25.topojson,滝川市東滝川町４丁目,43.570229,141.978333
滝川市/01225-4315-25.topojson,滝川市東滝川町３丁目,43.572395,141.978241
滝川市/01225-4315-25.topojson,滝川市東滝川町２丁目,43.573551,141.982452
滝川市/01225-4315-25.topojson,滝川市東滝川町１丁目,43.573204,141.98436
滝川市/01225-4315-27.topojson,滝川市本町２丁目,43.560116,141.906326
滝川市/01225-4315-27.topojson,滝川市本町３丁目,43.56126,141.906784
