ファイル名,地番区域,緯度,経度
留萌市/01212-4502-7.topojson,留萌市旭町３丁目,43.934856,141.649597
留萌市/01212-4502-7.topojson,留萌市住之江町１丁目,43.934799,141.653336
留萌市/01212-4502-8.topojson,留萌市元町５丁目,43.95293,141.640915
留萌市/01212-4502-8.topojson,留萌市元町２丁目,43.94836,141.644119
留萌市/01212-4502-8.topojson,留萌市元町４丁目,43.95042,141.643143
留萌市/01212-4502-8.topojson,留萌市元町３丁目,43.949146,141.643265
留萌市/01212-4502-9.topojson,留萌市栄町３丁目,43.940174,141.651306
留萌市/01212-4502-9.topojson,留萌市末広町４丁目,43.939068,141.652527
留萌市/01212-4502-9.topojson,留萌市花園町５丁目,43.936047,141.657089
留萌市/01212-4502-9.topojson,留萌市花園町４丁目,43.937111,141.655396
留萌市/01212-4502-9.topojson,留萌市花園町３丁目,43.936798,141.652725
留萌市/01212-4502-9.topojson,留萌市花園町２丁目,43.937431,141.651306
留萌市/01212-4502-9.topojson,留萌市花園町１丁目,43.937347,141.649734
留萌市/01212-4502-9.topojson,留萌市開運町１丁目,43.939819,141.649521
留萌市/01212-4502-18.topojson,留萌市開運町２丁目,43.939808,141.647278
留萌市/01212-4502-18.topojson,留萌市明元町６丁目,43.942375,141.643906
留萌市/01212-4502-18.topojson,留萌市船場町２丁目,43.944664,141.648911
留萌市/01212-4502-18.topojson,留萌市船場町１丁目,43.944698,141.652359
留萌市/01212-4502-18.topojson,留萌市宮園町４丁目,43.936218,141.644196
留萌市/01212-4502-18.topojson,留萌市見晴町２丁目,43.933022,141.646179
留萌市/01212-4502-18.topojson,留萌市見晴町１丁目,43.933987,141.642853
留萌市/01212-4502-18.topojson,留萌市宮園町３丁目,43.936153,141.642075
留萌市/01212-4502-18.topojson,留萌市宮園町２丁目,43.93745,141.641739
留萌市/01212-4502-18.topojson,留萌市大字留萌村字留萌原野二線,43.861256,141.70694
留萌市/01212-4502-18.topojson,留萌市旭町２丁目,43.936069,141.648193
留萌市/01212-4502-18.topojson,留萌市旭町１丁目,43.936634,141.646851
留萌市/01212-4502-18.topojson,留萌市錦町４丁目,43.937473,141.645874
留萌市/01212-4502-18.topojson,留萌市大字留萌村,43.861256,141.70694
留萌市/01212-4502-18.topojson,留萌市錦町２丁目,43.938919,141.643799
留萌市/01212-4502-18.topojson,留萌市錦町３丁目,43.93821,141.644821
留萌市/01212-4502-18.topojson,留萌市大字留萌村字留萌原野一線,43.861256,141.70694
留萌市/01212-4502-18.topojson,留萌市開運町３丁目,43.938835,141.64679
留萌市/01212-4502-18.topojson,留萌市大字留萌村字留萌,43.861256,141.70694
留萌市/01212-4502-18.topojson,留萌市,43.941006,141.636932
留萌市/01212-4502-18.topojson,留萌市栄町２丁目,43.941315,141.649796
留萌市/01212-4502-18.topojson,留萌市栄町１丁目,43.942516,141.649307
留萌市/01212-4502-18.topojson,留萌市大字留萌村字川上,43.861256,141.70694
留萌市/01212-4502-19.topojson,留萌市大字留萌村字タルマップ,43.861256,141.70694
留萌市/01212-4502-19.topojson,留萌市大字留萌村字幌糠,43.861256,141.70694
留萌市/01212-4502-19.topojson,留萌市大字留萌村字峠下,43.861256,141.70694
留萌市/01212-4502-19.topojson,留萌市大字留萌村字チバベリ,43.861256,141.70694
留萌市/01212-4502-19.topojson,留萌市大字留萌村字ポンルルモッペ,43.861256,141.70694
留萌市/01212-4502-19.topojson,留萌市大字留萌村字藤山,43.861256,141.70694
留萌市/01212-4502-19.topojson,留萌市大字留萌村字エトウエンベツ,43.861256,141.70694
留萌市/01212-4502-19.topojson,留萌市大字留萌村字奥幌糠,43.861256,141.70694
留萌市/01212-4502-25.topojson,留萌市東雲町２丁目,43.929649,141.676636
留萌市/01212-4502-25.topojson,留萌市東雲町１丁目,43.935284,141.67067
留萌市/01212-4502-25.topojson,留萌市元川町２丁目,43.932983,141.666931
留萌市/01212-4502-25.topojson,留萌市緑ケ丘町１丁目,43.929218,141.66803
