ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01230-4302-1.zip,202602100957,登別市幌別町１丁目,29-4,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,29-3,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,29-2,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,29-1,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,23-52,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,23-51,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,23-50,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,23-49,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,23-15,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,22-1,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-73,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-72,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-71,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-70,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-69,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-68,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-67,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-66,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-65,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-64,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-63,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-62,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-61,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-60,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-59,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-58,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-57,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-56,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-55,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-54,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-53,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-52,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-51,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-50,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-49,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-48,,
01230-4302-1.zip,202602100957,登別市幌別町１丁目,20-46,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,23-45,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,23-44,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,23-43,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,23-42,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,23-21,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-30,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-29,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-28,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-27,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-26,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-25,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-24,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-23,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-22,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-21,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-20,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-19,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-18,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-17,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-16,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,20-15,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,17-57,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,17-56,,
01230-4302-1.zip,202602100957,登別市中央町２丁目,17-55,,
