ファイル名,地番区域,緯度,経度
登別市/01230-4302-19.topojson,登別市鉱山町,42.490208,141.028336
登別市/01230-4302-19.topojson,登別市来馬町,42.462765,141.084595
登別市/01230-4302-20.topojson,登別市上鷲別町,42.400299,141.041611
登別市/01230-4302-21.topojson,登別市,42.412777,141.106674
登別市/01230-4302-21.topojson,登別市札内町,42.471882,141.11795
登別市/01230-4302-21.topojson,登別市千歳町,42.434864,141.11412
登別市/01230-4302-21.topojson,登別市上登別町,42.490608,141.117615
登別市/01230-4302-35.topojson,登別市中央町１丁目,42.41193,141.108109
登別市/01230-4302-35.topojson,登別市中央町７丁目,42.415691,141.107742
登別市/01230-4302-35.topojson,登別市中央町６丁目,42.413769,141.106918
登別市/01230-4302-35.topojson,登別市中央町２丁目,42.409786,141.105545
登別市/01230-4302-35.topojson,登別市中央町５丁目,42.413219,141.103836
登別市/01230-4302-35.topojson,登別市中央町４丁目,42.410755,141.103943
登別市/01230-4302-35.topojson,登別市中央町３丁目,42.407471,141.102997
登別市/01230-4302-36.topojson,登別市美園町２丁目,42.363274,141.047882
登別市/01230-4302-36.topojson,登別市若草町３丁目,42.367496,141.050903
登別市/01230-4302-36.topojson,登別市若草町１丁目,42.366287,141.053146
登別市/01230-4302-36.topojson,登別市若草町４丁目,42.371441,141.055481
登別市/01230-4302-36.topojson,登別市若草町２丁目,42.369987,141.057999
登別市/01230-4302-36.topojson,登別市新生町３丁目,42.375923,141.061966
登別市/01230-4302-36.topojson,登別市新生町４丁目,42.38073,141.064941
登別市/01230-4302-36.topojson,登別市新生町１丁目,42.374699,141.063858
登別市/01230-4302-36.topojson,登別市新生町２丁目,42.378883,141.067764
