ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,172-4,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,172-5,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,172-6,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,273-1,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,273-2,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,274,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-1,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-2,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-3,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-4,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-5,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-6,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-7,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-8,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-9,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-10,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-11,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-12,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,275-13,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,276,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,277-1,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,277-2,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,278,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,279-1,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,279-2,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,279-4,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,279-5,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,279-6,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,279-8,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,279-9,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,279-10,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,279-11,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,279-12,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,280,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,281-1,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,281-2,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,281-4,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,281-6,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,282-1,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,282-3,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,282-4,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,283-1,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,283-2,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,283-6,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,283-7,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,283-8,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,283-9,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,283-10,,
01668-4600-1.zip,202602101146,白糠郡白糠町和天別,284-1,,
