ファイル名,地番区域,緯度,経度
白糠郡白糠町/01668-4600-2.topojson,白糠郡白糠町オニヨツプ,43.102985,144.073746
白糠郡白糠町/01668-4600-2.topojson,白糠郡白糠町,42.956165,144.071732
白糠郡白糠町/01668-4600-3.topojson,白糠郡白糠町庶路,43.015823,144.172043
白糠郡白糠町/01668-4600-3.topojson,白糠郡白糠町トーパラベツ,43.034283,144.15271
白糠郡白糠町/01668-4600-3.topojson,白糠郡白糠町泊別,43.044842,144.132645
白糠郡白糠町/01668-4600-4.topojson,白糠郡白糠町オレウケナイ,43.064068,144.087631
白糠郡白糠町/01668-4600-5.topojson,白糠郡白糠町上庶路基線,43.201881,143.952362
白糠郡白糠町/01668-4600-5.topojson,白糠郡白糠町上庶路甲区,43.246902,143.941711
白糠郡白糠町/01668-4600-5.topojson,白糠郡白糠町滝の上,43.188362,143.976318
白糠郡白糠町/01668-4600-5.topojson,白糠郡白糠町上庶路,43.109554,144.06636
白糠郡白糠町/01668-4600-6.topojson,白糠郡白糠町茶路,43.047199,143.958527
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町カリソ,42.987854,144.078568
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町茶路東一線,43.055153,144.0056
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町シユウトナイ,43.101315,143.883652
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路,43.156345,143.87764
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町ルークシチヤロ,43.183018,143.841949
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路基線北,43.177078,143.878937
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路基線南,43.175339,143.877258
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路東一線,43.205845,143.854568
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路東二線,43.212563,143.871368
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路西一線,43.067947,143.938644
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路西二線,43.177135,143.834045
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路西三線,43.138748,143.861465
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路西四線,43.139763,143.853928
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路西五線,43.140362,143.851074
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路乙西一線,43.102997,143.879547
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路乙西二線,43.172791,143.829727
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路乙東一線,43.191357,143.849808
白糠郡白糠町/01668-4600-7.topojson,白糠郡白糠町上茶路乙東二線,43.212891,143.876465
