ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
01694-4625-1.zip,202602101230,目梨郡羅臼町昆布浜,9,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,22-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町昆布浜,424-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町昆布浜,248-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町昆布浜,424-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町昆布浜,248-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町船泊,長狭物不明-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町化石浜,無地番-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町船泊,長狭物不明-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町昆布浜,448,,
01694-4625-1.zip,202602101230,目梨郡羅臼町瀬石,441,,
01694-4625-1.zip,202602101230,目梨郡羅臼町昆布浜,長狭物不明-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557556,,
01694-4625-1.zip,202602101230,目梨郡羅臼町崩浜,296,,
01694-4625-1.zip,202602101230,目梨郡羅臼町昆布浜,451,,
01694-4625-1.zip,202602101230,目梨郡羅臼町相泊,206-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町滝ノ下,長狭物不明-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557561,,
01694-4625-1.zip,202602101230,目梨郡羅臼町崩浜,長狭物不明-5,,
01694-4625-1.zip,202602101230,目梨郡羅臼町滝ノ下,長狭物不明-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町知床岬,長狭物不明-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,22-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,道-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557567,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,21-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,1-4,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,1-7,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,1-5,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,1-3,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,1-11,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,1-6,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,1-10,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,長狭物不明-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,1-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,1-8,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,1-9,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,22-3,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,4-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,長狭物不明-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,20-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,23-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557585,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,6-4,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,21-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,21-5,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,23-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,20-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,7-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557592,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557593,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,21-4,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,21-3,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557596,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,407,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,27,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557600,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,384,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,道-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,242,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,404,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,3,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,4,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,12-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,11-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,12-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,12-3,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,12-4,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,6-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,長狭物不明-3,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,10-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557615,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557616,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,405,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,8,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,6-6,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,6-7,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557621,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,3-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,9-4,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,9-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,9-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,3-1,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,長狭物不明-4,,
01694-4625-1.zip,202602101230,目梨郡羅臼町,地区外-557628,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,408,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,406-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,406-3,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,409-3,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,6-2,,
01694-4625-1.zip,202602101230,目梨郡羅臼町北浜,9-6,,
